project_id,mp_id,state_ut,constituency,district,block_or_urban,gram_panchayat_or_ward,village_or_locality,work_description,work_category,estimated_cost_inr,sanctioned_cost_inr,sanction_date,start_date,expected_completion_date,actual_completion_date,status,physical_completion_percentage,latitude,longitude,implementing_agency_id,ground_truth_label,anomaly_scenario
PRJ000029,MP00004,West Bengal,TAMLUK,Tamluk,Tamluk Block,Narmadaabad Gram Panchayat,Narmadaabad,"Provision of LED street lighting in Narmadaabad, Tamluk district",STREET_LIGHTING,723200,714600,2024-11-06,2025-01-09,2025-02-28,2025-03-27,COMPLETED,100,24.68167,89.87695,SYN_AGENCY_007,NORMAL,NORMAL
PRJ000030,MP00004,West Bengal,TAMLUK,Tamluk,Tamluk Municipality,Ward No. 41,Ganesh Ganj,"Construction of concrete road at Ganesh Ganj, Tamluk district",ROAD,2202600,2238300,2024-09-30,2024-12-04,2025-07-01,,ONGOING,74,24.77823,89.7991,SYN_AGENCY_058,NORMAL,NORMAL
PRJ000031,MP00004,West Bengal,TAMLUK,Tamluk,Tamluk Block,Narmadanagar Gram Panchayat,Narmadanagar,"Provision of hand pumps/bore-well for drinking water in Narmadanagar, Tamluk district",DRINKING_WATER,1087200,1089800,2025-04-12,2025-06-02,2025-12-06,,ONGOING,14,24.79501,89.78356,SYN_AGENCY_020,NORMAL,NORMAL
PRJ000032,MP00004,West Bengal,TAMLUK,Tamluk,Tamluk Block,Indraabad Gram Panchayat,Indraabad,"Construction of Panchayat Bhawan at Indraabad, Tamluk district",PUBLIC_BUILDING,2685800,2582500,2024-08-06,2024-10-04,2025-04-14,2025-04-14,COMPLETED,100,24.66754,89.8843,SYN_AGENCY_025,NORMAL,NORMAL
PRJ000033,MP00004,West Bengal,TAMLUK,Tamluk,Tamluk Block,Laxmipatti Gram Panchayat,Laxmipatti,"Construction of concrete road at Laxmipatti, Tamluk district",ROAD,3074600,2985400,2024-11-10,2024-12-16,2025-04-30,2025-05-04,COMPLETED,100,24.73677,89.77132,SYN_AGENCY_074,NORMAL,NORMAL
PRJ000034,MP00004,West Bengal,TAMLUK,Tamluk,Tamluk Block,Rajpura Gram Panchayat,Rajpura,"Construction of sports infrastructure facility at Rajpura, Tamluk district",SPORTS_INFRASTRUCTURE,1660700,1655400,2024-10-26,2024-11-29,2025-04-19,2025-04-06,COMPLETED,100,24.74989,89.77717,SYN_AGENCY_032,NORMAL,NORMAL
PRJ000035,MP00004,West Bengal,TAMLUK,Tamluk,Tamluk Urban Local Body,Ward No. 3,Bal Ganj,"Provision of civic amenities at Bal Ganj, Tamluk district",OTHER_CIVIC_ASSET,1144800,1166500,2025-04-19,2025-05-17,2025-07-22,,ONGOING,61,24.71267,89.815,SYN_AGENCY_076,NORMAL,NORMAL
PRJ000036,MP00005,West Bengal,MURSHIDABAD,Murshidabad,Murshidabad Block,Hanumankheda Gram Panchayat,Hanumankheda,"Construction of concrete road at Hanumankheda, Murshidabad district",ROAD,1898900,1825900,2025-02-22,2025-05-16,2025-11-07,,ONGOING,28,24.67822,89.75642,SYN_AGENCY_042,NORMAL,NORMAL
PRJ000037,MP00005,West Bengal,MURSHIDABAD,Murshidabad,Murshidabad Block,Veergarh Gram Panchayat,Veergarh,"Construction of pucca drain in Veergarh, Murshidabad district",DRAINAGE,1696500,1620400,2024-08-11,2024-10-17,2025-01-20,2025-01-06,COMPLETED,100,24.64156,89.68514,SYN_AGENCY_034,NORMAL,NORMAL
PRJ000038,MP00005,West Bengal,MURSHIDABAD,Murshidabad,Murshidabad Block,Chandanpur Gram Panchayat,Chandanpur,"Construction of concrete road at Chandanpur, Murshidabad district",ROAD,3302300,3222200,2025-04-28,2025-05-31,2026-02-05,,ONGOING,11,24.60589,89.76329,SYN_AGENCY_055,NORMAL,NORMAL
PRJ000039,MP00005,West Bengal,MURSHIDABAD,Murshidabad,Murshidabad Urban Local Body,Ward No. 20,Prem Vihar,"Construction of additional classrooms at Government School, Prem Vihar, Murshidabad district",SCHOOL_INFRASTRUCTURE,1165500,1100400,2024-12-23,2025-03-14,2025-07-17,,ONGOING,66,24.7005,89.6728,SYN_AGENCY_028,NORMAL,NORMAL
PRJ000040,MP00005,West Bengal,MURSHIDABAD,Murshidabad,Murshidabad Block,Mohanhalli Gram Panchayat,Mohanhalli,"Construction of Community Hall at Mohanhalli, Murshidabad district",COMMUNITY_HALL,1642300,1600300,2024-09-19,2024-10-26,2025-07-09,,ONGOING,75,24.71492,89.76737,SYN_AGENCY_034,NORMAL,NORMAL
PRJ000041,MP00005,West Bengal,MURSHIDABAD,Murshidabad,Murshidabad Block,Ramnagar Gram Panchayat,Ramnagar,"Construction of Panchayat Bhawan at Ramnagar, Murshidabad district",PUBLIC_BUILDING,1346200,1332300,2024-12-07,2025-01-05,2025-10-08,,ONGOING,61,24.71315,89.70073,SYN_AGENCY_041,NORMAL,NORMAL
PRJ000042,MP00005,West Bengal,MURSHIDABAD,Murshidabad,Murshidabad Block,Mahipatti Gram Panchayat,Mahipatti,"Construction of covered drainage system in Mahipatti, Murshidabad district",DRAINAGE,1469200,1408700,2024-10-01,2024-10-23,2025-04-12,2025-05-04,COMPLETED,100,24.69905,89.68327,SYN_AGENCY_063,NORMAL,NORMAL
PRJ000043,MP00005,West Bengal,MURSHIDABAD,Murshidabad,Murshidabad Block,Deepoli Gram Panchayat,Deepoli,"Construction of sports infrastructure facility at Deepoli, Murshidabad district",SPORTS_INFRASTRUCTURE,1861200,2598300,2024-07-01,2024-07-23,2025-01-27,,DELAYED,41,24.5628,89.71292,SYN_AGENCY_033,ANOMALOUS,MULTIPLE_SIGNALS
PRJ000044,MP00005,West Bengal,MURSHIDABAD,Murshidabad,Murshidabad Nagar Panchayat,Ward No. 9,Nand Ganj,"Development of playground/sports ground at Nand Ganj, Murshidabad district",SPORTS_INFRASTRUCTURE,2458500,2321400,2024-07-01,2024-09-11,2025-04-14,,DELAYED,7,24.71075,89.70861,SYN_AGENCY_010,ANOMALOUS,LOW_UTILIZATION
PRJ000045,MP00005,West Bengal,MURSHIDABAD,Murshidabad,Murshidabad Block,Rajhalli Gram Panchayat,Rajhalli,"Construction of covered drainage system in Rajhalli, Murshidabad district",DRAINAGE,1868400,1804600,2024-07-01,2024-08-25,2025-02-01,,DELAYED,8,24.59824,89.72283,SYN_AGENCY_045,ANOMALOUS,LOW_UTILIZATION
PRJ000046,MP00006,West Bengal,KANTHI,Kanthi,Kanthi Block,Ganeshkheda Gram Panchayat,Ganeshkheda,"Construction of boundary wall at Government School, Ganeshkheda, Kanthi district",SCHOOL_INFRASTRUCTURE,2481300,2369700,2024-07-01,2024-09-16,2025-04-04,,DELAYED,37,24.57697,89.63489,SYN_AGENCY_074,ANOMALOUS,PROJECT_DELAY
PRJ000047,MP00006,West Bengal,KANTHI,Kanthi,Kanthi Block,Laxmigarh Gram Panchayat,Laxmigarh,"Construction of Panchayat Bhawan at Laxmigarh, Kanthi district",PUBLIC_BUILDING,1985900,1985000,2025-05-07,2025-07-21,2026-03-01,,SANCTIONED,0,24.57201,89.5847,SYN_AGENCY_036,NORMAL,NORMAL
PRJ000048,MP00006,West Bengal,KANTHI,Kanthi,Kanthi Block,Kishankheda Gram Panchayat,Kishankheda,"Construction of Panchayat Bhawan at Kishankheda, Kanthi district",PUBLIC_BUILDING,2493200,2474500,2024-08-27,2024-10-21,2025-04-19,2025-05-13,COMPLETED,100,24.5051,89.62122,SYN_AGENCY_080,NORMAL,NORMAL
PRJ000049,MP00006,West Bengal,KANTHI,Kanthi,Kanthi Block,Kaverioli Gram Panchayat,Kaverioli,"Construction of concrete road at Kaverioli, Kanthi district",ROAD,2705400,2632800,2024-07-01,2024-08-24,2025-02-24,,DELAYED,64,24.51357,89.58079,SYN_AGENCY_001,ANOMALOUS,PROJECT_DELAY
PRJ000050,MP00006,West Bengal,KANTHI,Kanthi,Kanthi Block,Adityapur Gram Panchayat,Adityapur,"Construction of public community building at Adityapur, Kanthi district",PUBLIC_BUILDING,2320700,2262400,2025-01-22,2025-03-08,2025-11-02,,ONGOING,51,24.46232,89.53832,SYN_AGENCY_073,NORMAL,NORMAL
PRJ000051,MP00006,West Bengal,KANTHI,Kanthi,Kanthi Block,Amarpatti Gram Panchayat,Amarpatti,"Construction of Panchayat Bhawan at Amarpatti, Kanthi district",PUBLIC_BUILDING,1368700,1330200,2025-03-02,2025-04-14,2025-10-19,,ONGOING,41,24.52843,89.51862,SYN_AGENCY_056,NORMAL,NORMAL
PRJ000052,MP00006,West Bengal,KANTHI,Kanthi,Kanthi Block,Sagarpatti Gram Panchayat,Sagarpatti,"Construction of Community Centre at Sagarpatti, Kanthi district",COMMUNITY_HALL,1919000,1869300,2024-08-30,2024-11-17,2025-05-31,,ONGOING,86,24.45983,89.55234,SYN_AGENCY_054,NORMAL,NORMAL
PRJ000053,MP00006,West Bengal,KANTHI,Kanthi,Kanthi Block,Suryapura Gram Panchayat,Suryapura,"Provision of hand pumps/bore-well for drinking water in Suryapura, Kanthi district",DRINKING_WATER,1896300,1920900,2025-05-11,2025-06-07,2025-12-12,,ONGOING,13,24.48021,89.59361,SYN_AGENCY_022,NORMAL,NORMAL
PRJ000054,MP00006,West Bengal,KANTHI,Kanthi,Kanthi Nagar Panchayat,Ward No. 44,Ram Puram,"Establishment of reading room/library at Ram Puram, Kanthi district",LIBRARY,724500,728300,2024-10-28,2024-12-15,2025-03-21,,ONGOING,80,24.54185,89.67473,SYN_AGENCY_002,NORMAL,NORMAL
PRJ000055,MP00006,West Bengal,KANTHI,Kanthi,Kanthi Nagar Panchayat,Ward No. 40,Yamuna Nagar,"Installation of solar street lights in Yamuna Nagar, Kanthi district",STREET_LIGHTING,567900,536700,2025-04-27,2025-07-20,2025-10-11,,SANCTIONED,0,24.49184,89.52706,SYN_AGENCY_079,NORMAL,NORMAL
PRJ000056,MP00007,Uttar Pradesh,BADAUN,Badaun,Badaun Block,Vijaypura Gram Panchayat,Vijaypura,"Installation of solar street lights in Vijaypura, Badaun district",STREET_LIGHTING,472600,445700,2025-05-09,2025-07-22,2025-10-04,,SANCTIONED,0,28.22281,82.52338,SYN_AGENCY_034,NORMAL,NORMAL
PRJ000057,MP00007,Uttar Pradesh,BADAUN,Badaun,Badaun Block,Kishanoli Gram Panchayat,Kishanoli,"Installation of solar street lights in Kishanoli, Badaun district",STREET_LIGHTING,737800,703300,2024-10-11,2024-11-16,2025-02-26,2025-03-22,COMPLETED,100,28.32633,82.63507,SYN_AGENCY_014,NORMAL,NORMAL
PRJ000058,MP00007,Uttar Pradesh,BADAUN,Badaun,Badaun Block,Shyamgaon Gram Panchayat,Shyamgaon,"Construction of boundary wall at Government School, Shyamgaon, Badaun district",SCHOOL_INFRASTRUCTURE,1972900,1965600,2024-07-01,2024-08-15,2025-05-02,,DELAYED,20,28.25819,82.56281,SYN_AGENCY_035,ANOMALOUS,LOW_UTILIZATION
PRJ000059,MP00007,Uttar Pradesh,BADAUN,Badaun,Badaun Block,Shivwadi Gram Panchayat,Shivwadi,"Construction of sports infrastructure facility at Shivwadi, Badaun district",SPORTS_INFRASTRUCTURE,1646000,1663700,2024-07-31,2024-08-15,2024-12-17,,ONGOING,75,28.3122,82.5831,SYN_AGENCY_037,NORMAL,NORMAL
PRJ000060,MP00007,Uttar Pradesh,BADAUN,Badaun,Badaun Municipal Corporation,Ward No. 6,Sagar Layout,"Installation of drinking water supply scheme in Sagar Layout, Badaun district",DRINKING_WATER,2406600,2316700,2025-01-14,2025-02-08,2025-05-11,2025-06-08,COMPLETED,100,28.25046,82.63586,SYN_AGENCY_056,NORMAL,NORMAL
PRJ000061,MP00007,Uttar Pradesh,BADAUN,Badaun,Badaun Block,Kishankheda Gram Panchayat,Kishankheda,"Upgradation of Primary Health Sub-Centre at Kishankheda, Badaun district",HEALTH_INFRASTRUCTURE,3320700,3316200,2024-09-23,2024-10-13,2025-05-12,2025-05-16,COMPLETED,100,28.32542,82.59944,SYN_AGENCY_043,NORMAL,NORMAL
PRJ000062,MP00007,Uttar Pradesh,BADAUN,Badaun,Badaun Block,Laxmipur Gram Panchayat,Laxmipur,"Construction of sports infrastructure facility at Laxmipur, Badaun district",SPORTS_INFRASTRUCTURE,1615500,1559700,2024-07-31,2024-09-05,2025-02-02,2025-02-11,COMPLETED,100,28.29899,82.57265,SYN_AGENCY_069,ANOMALOUS,POSSIBLE_DUPLICATE
PRJ000063,MP00007,Uttar Pradesh,BADAUN,Badaun,Badaun Block,Krishnapur Gram Panchayat,Krishnapur,"Construction of boundary wall at Government School, Krishnapur, Badaun district",SCHOOL_INFRASTRUCTURE,2112900,1999600,2025-01-21,2025-02-11,2025-09-26,,ONGOING,60,28.33378,82.52186,SYN_AGENCY_064,NORMAL,NORMAL
PRJ000064,MP00007,Uttar Pradesh,BADAUN,Badaun,Badaun Nagar Panchayat,Ward No. 6,Jai Colony,"Augmentation of piped water supply network in Jai Colony, Badaun district",WATER_SUPPLY,2518200,2525700,2025-02-04,2025-03-15,2025-08-05,,ONGOING,67,28.35265,82.63221,SYN_AGENCY_007,NORMAL,NORMAL
PRJ000065,MP00008,Kerala,ATTINGAL,Attingal,Attingal Block,Ganeshnagar Gram Panchayat,Ganeshnagar,"Laying of water supply pipeline in Ganeshnagar, Attingal district",WATER_SUPPLY,2997300,2966100,2025-03-25,2025-05-22,2026-01-12,,ONGOING,13,12.13111,77.76127,SYN_AGENCY_004,NORMAL,NORMAL
PRJ000066,MP00008,Kerala,ATTINGAL,Attingal,Attingal Block,Shyamabad Gram Panchayat,Shyamabad,"Construction of additional classrooms at Government School, Shyamabad, Attingal district",SCHOOL_INFRASTRUCTURE,2901900,2938000,2024-09-25,2024-11-23,2025-03-31,2025-03-31,COMPLETED,100,12.17745,77.76887,SYN_AGENCY_079,NORMAL,NORMAL
PRJ000067,MP00008,Kerala,ATTINGAL,Attingal,Attingal Block,Adityapalli Gram Panchayat,Adityapalli,"Construction of boundary wall at Government School, Adityapalli, Attingal district",SCHOOL_INFRASTRUCTURE,2994600,2950400,2024-10-24,2025-01-12,2025-08-23,,ONGOING,26,12.18944,77.76342,SYN_AGENCY_031,ANOMALOUS,POSSIBLE_DUPLICATE
PRJ000068,MP00008,Kerala,ATTINGAL,Attingal,Attingal Block,Gangagarh Gram Panchayat,Gangagarh,"Provision of civic amenities at Gangagarh, Attingal district",OTHER_CIVIC_ASSET,1603900,1559700,2025-01-24,2025-02-09,2025-07-24,,ONGOING,78,12.24979,77.82037,SYN_AGENCY_001,NORMAL,NORMAL
PRJ000069,MP00008,Kerala,ATTINGAL,Attingal,Attingal Block,Sagarhalli Gram Panchayat,Sagarhalli,"Construction of check dam near Sagarhalli, Attingal district",IRRIGATION,3423200,3266200,2024-09-17,2024-11-10,2025-08-09,,ONGOING,67,12.16077,77.82389,SYN_AGENCY_049,NORMAL,NORMAL
PRJ000070,MP00008,Kerala,ATTINGAL,Attingal,Attingal Block,Balpatti Gram Panchayat,Balpatti,"Construction of public community building at Balpatti, Attingal district",PUBLIC_BUILDING,2115800,1998300,2024-09-08,2024-10-24,2025-06-09,2025-06-17,COMPLETED,100,12.18345,77.7384,SYN_AGENCY_018,NORMAL,NORMAL
PRJ000071,MP00008,Kerala,ATTINGAL,Attingal,Attingal Municipality,Ward No. 19,Chandan Enclave,"Upgradation of Primary Health Sub-Centre at Chandan Enclave, Attingal district",HEALTH_INFRASTRUCTURE,2389200,2265300,2025-05-07,2025-05-22,2026-02-14,,ONGOING,12,12.167,77.80155,SYN_AGENCY_019,NORMAL,NORMAL
PRJ000072,MP00008,Kerala,ATTINGAL,Attingal,Attingal Block,Narmadakheda Gram Panchayat,Narmadakheda,"Installation of electric transformer/supply lines in Narmadakheda, Attingal district",ELECTRIFICATION,828100,818500,2025-01-09,2025-02-13,2025-07-05,,ONGOING,92,12.15844,77.86073,SYN_AGENCY_057,NORMAL,NORMAL
PRJ000073,MP00008,Kerala,ATTINGAL,Attingal,Attingal Block,Anandkheda Gram Panchayat,Anandkheda,"Construction of public community building at Anandkheda, Attingal district",PUBLIC_BUILDING,1715500,1614400,2025-03-01,2025-05-26,2026-01-27,,ONGOING,15,12.15366,77.77552,SYN_AGENCY_044,NORMAL,NORMAL
PRJ000074,MP00008,Kerala,ATTINGAL,Attingal,Attingal Block,Shyamgarh Gram Panchayat,Shyamgarh,"Construction of sports infrastructure facility at Shyamgarh, Attingal district",SPORTS_INFRASTRUCTURE,1083600,1089800,2025-02-13,2025-03-23,2025-11-04,,ONGOING,36,12.26051,77.73015,SYN_AGENCY_052,NORMAL,NORMAL
PRJ000075,MP00009,Kerala,IDUKKI,Idukki,Idukki Block,Veerpura Gram Panchayat,Veerpura,"Construction of additional classrooms at Government School, Veerpura, Idukki district",SCHOOL_INFRASTRUCTURE,1119100,1113600,2024-12-13,2025-02-25,2025-09-02,,ONGOING,48,12.09148,77.69381,SYN_AGENCY_035,NORMAL,NORMAL
PRJ000076,MP00009,Kerala,IDUKKI,Idukki,Idukki Block,Laxmikheda Gram Panchayat,Laxmikheda,"Black-topping/upgradation of village road in Laxmikheda, Idukki district",ROAD,3903200,3708100,2025-02-13,2025-05-03,2025-12-16,,ONGOING,25,12.14755,77.68664,SYN_AGENCY_077,NORMAL,NORMAL
