transaction_id,project_id,mp_id,transaction_date,transaction_type,amount_inr,cumulative_expenditure_inr,remaining_amount_inr,recipient_entity_id,payment_status,financial_year
TXN000025,PRJ000007,MP00001,2024-07-23,SANCTION,1100800,0,1100800,SYN_AGENCY_028,COMPLETED,2024-25
TXN000026,PRJ000007,MP00001,2024-09-11,RELEASE,1100800,0,1100800,SYN_AGENCY_028,COMPLETED,2024-25
TXN000027,PRJ000007,MP00001,2024-10-25,ADVANCE,105000,105000,995800,SYN_CONTRACTOR_080,COMPLETED,2024-25
TXN000028,PRJ000007,MP00001,2024-11-30,PAYMENT,514100,619100,481700,SYN_CONTRACTOR_080,COMPLETED,2024-25
TXN000029,PRJ000007,MP00001,2025-02-02,EXPENDITURE,418700,1037800,63000,SYN_VENDOR_024,COMPLETED,2024-25
TXN000030,PRJ000007,MP00001,2025-03-03,ADJUSTMENT,16600,1054400,46400,SYN_AGENCY_028,COMPLETED,2024-25
TXN000031,PRJ000008,MP00001,2024-07-25,SANCTION,869900,0,869900,SYN_AGENCY_026,COMPLETED,2024-25
TXN000032,PRJ000008,MP00001,2024-10-03,RELEASE,827300,0,869900,SYN_AGENCY_026,COMPLETED,2024-25
TXN000033,PRJ000008,MP00001,2024-12-14,ADVANCE,49600,49600,820300,SYN_CONTRACTOR_081,COMPLETED,2024-25
TXN000034,PRJ000008,MP00001,2025-02-23,EXPENDITURE,368200,417800,452100,SYN_VENDOR_055,COMPLETED,2024-25
TXN000035,PRJ000008,MP00001,2025-03-09,EXPENDITURE,372500,790300,79600,SYN_CONTRACTOR_081,COMPLETED,2024-25
TXN000036,PRJ000009,MP00002,2024-07-01,SANCTION,2127100,0,2127100,SYN_AGENCY_026,COMPLETED,2024-25
TXN000037,PRJ000009,MP00002,2025-03-28,RELEASE,698600,0,2127100,SYN_AGENCY_026,COMPLETED,2024-25
TXN000038,PRJ000009,MP00002,2025-09-12,ADVANCE,115100,115100,2012000,SYN_CONTRACTOR_082,COMPLETED,2025-26
TXN000039,PRJ000009,MP00002,2026-05-17,PAYMENT,569300,684400,1442700,SYN_CONTRACTOR_082,COMPLETED,2026-27
TXN000040,PRJ000010,MP00002,2024-11-21,SANCTION,1272000,0,1272000,SYN_AGENCY_042,COMPLETED,2024-25
TXN000041,PRJ000010,MP00002,2025-01-18,RELEASE,1272000,0,1272000,SYN_AGENCY_042,COMPLETED,2024-25
TXN000042,PRJ000010,MP00002,2025-02-25,ADVANCE,140100,140100,1131900,SYN_CONTRACTOR_104,COMPLETED,2024-25
TXN000043,PRJ000010,MP00002,2025-04-09,EXPENDITURE,509600,649700,622300,SYN_CONTRACTOR_104,COMPLETED,2025-26
TXN000044,PRJ000010,MP00002,2025-05-24,PAYMENT,622300,1272000,0,SYN_VENDOR_048,COMPLETED,2025-26
TXN000045,PRJ000011,MP00002,2025-03-23,SANCTION,3133400,0,3133400,SYN_AGENCY_065,COMPLETED,2024-25
TXN000046,PRJ000011,MP00002,2025-08-02,RELEASE,556000,0,3133400,SYN_AGENCY_065,COMPLETED,2025-26
TXN000047,PRJ000011,MP00002,2025-11-08,ADVANCE,62900,62900,3070500,SYN_CONTRACTOR_105,COMPLETED,2025-26
TXN000048,PRJ000011,MP00002,2026-04-03,PAYMENT,239300,302200,2831200,SYN_CONTRACTOR_105,COMPLETED,2026-27
TXN000049,PRJ000011,MP00002,2026-06-30,PAYMENT,238000,540200,2593200,SYN_CONTRACTOR_105,COMPLETED,2026-27
TXN000050,PRJ000012,MP00002,2024-09-09,SANCTION,2176300,0,2176300,SYN_AGENCY_064,COMPLETED,2024-25
TXN000051,PRJ000012,MP00002,2025-09-22,RELEASE,1734300,0,2176300,SYN_AGENCY_064,COMPLETED,2025-26
TXN000052,PRJ000012,MP00002,2026-05-19,ADVANCE,1598200,1598200,578100,SYN_CONTRACTOR_106,COMPLETED,2026-27
TXN000053,PRJ000013,MP00002,2024-08-06,SANCTION,1826300,0,1826300,SYN_AGENCY_023,COMPLETED,2024-25
TXN000054,PRJ000013,MP00002,2024-10-13,RELEASE,1826300,0,1826300,SYN_AGENCY_023,COMPLETED,2024-25
TXN000055,PRJ000013,MP00002,2024-12-08,ADVANCE,392800,392800,1433500,SYN_CONTRACTOR_107,COMPLETED,2024-25
TXN000056,PRJ000013,MP00002,2025-02-05,EXPENDITURE,1433500,1826300,0,SYN_CONTRACTOR_107,COMPLETED,2024-25
TXN000057,PRJ000014,MP00002,2024-07-08,SANCTION,1229100,0,1229100,SYN_AGENCY_038,COMPLETED,2024-25
TXN000058,PRJ000014,MP00002,2025-07-20,RELEASE,1117500,0,1229100,SYN_AGENCY_038,COMPLETED,2025-26
TXN000059,PRJ000014,MP00002,2026-06-30,ADVANCE,977800,977800,251300,SYN_CONTRACTOR_108,COMPLETED,2026-27
TXN000060,PRJ000015,MP00002,2024-07-01,SANCTION,1511700,0,1511700,SYN_AGENCY_071,COMPLETED,2024-25
TXN000061,PRJ000015,MP00002,2025-01-22,RELEASE,182100,0,1511700,SYN_AGENCY_071,COMPLETED,2024-25
TXN000062,PRJ000015,MP00002,2025-06-25,ADVANCE,45400,45400,1466300,SYN_CONTRACTOR_109,COMPLETED,2025-26
TXN000063,PRJ000015,MP00002,2026-01-16,EXPENDITURE,132500,177900,1333800,SYN_CONTRACTOR_109,COMPLETED,2025-26
TXN000064,PRJ000015,MP00002,2026-06-30,REFUND,34900,143000,1368700,SYN_VENDOR_083,COMPLETED,2026-27
TXN000065,PRJ000016,MP00002,2024-11-24,SANCTION,3364000,0,3364000,SYN_AGENCY_027,COMPLETED,2024-25
TXN000066,PRJ000016,MP00002,2025-06-24,RELEASE,3852200,0,3364000,SYN_AGENCY_027,COMPLETED,2025-26
TXN000067,PRJ000016,MP00002,2025-11-06,ADVANCE,605900,605900,2758100,SYN_CONTRACTOR_110,COMPLETED,2025-26
TXN000068,PRJ000016,MP00002,2026-06-30,PAYMENT,3243400,3849300,-485300,SYN_CONTRACTOR_110,COMPLETED,2026-27
TXN000069,PRJ000017,MP00002,2025-04-29,SANCTION,13982400,0,13982400,SYN_AGENCY_002,COMPLETED,2025-26
TXN000070,PRJ000017,MP00002,2025-11-22,RELEASE,8428500,0,13982400,SYN_AGENCY_002,COMPLETED,2025-26
TXN000071,PRJ000017,MP00002,2026-06-02,ADVANCE,7397500,7397500,6584900,SYN_CONTRACTOR_111,COMPLETED,2026-27
TXN000072,PRJ000018,MP00002,2024-09-13,SANCTION,1902700,0,1902700,SYN_AGENCY_012,COMPLETED,2024-25
TXN000073,PRJ000018,MP00002,2024-11-07,RELEASE,1902700,0,1902700,SYN_AGENCY_012,COMPLETED,2024-25
TXN000074,PRJ000018,MP00002,2025-01-30,ADVANCE,178300,178300,1724400,SYN_CONTRACTOR_112,COMPLETED,2024-25
TXN000075,PRJ000018,MP00002,2025-04-13,EXPENDITURE,775500,953800,948900,SYN_CONTRACTOR_112,COMPLETED,2025-26
TXN000076,PRJ000018,MP00002,2025-05-25,EXPENDITURE,902700,1856500,46200,SYN_CONTRACTOR_112,COMPLETED,2025-26
TXN000077,PRJ000019,MP00003,2025-03-18,SANCTION,16330300,0,16330300,SYN_AGENCY_060,COMPLETED,2024-25
TXN000078,PRJ000019,MP00003,2025-06-23,RELEASE,16109500,0,16330300,SYN_AGENCY_060,COMPLETED,2025-26
TXN000079,PRJ000019,MP00003,2025-10-07,ADVANCE,854200,854200,15476100,SYN_CONTRACTOR_113,COMPLETED,2025-26
TXN000080,PRJ000019,MP00003,2026-01-29,EXPENDITURE,5507300,6361500,9968800,SYN_VENDOR_087,COMPLETED,2025-26
TXN000081,PRJ000019,MP00003,2026-04-26,EXPENDITURE,4372600,10734100,5596200,SYN_CONTRACTOR_113,COMPLETED,2026-27
TXN000082,PRJ000019,MP00003,2026-06-30,PAYMENT,4057900,14792000,1538300,SYN_VENDOR_087,COMPLETED,2026-27
TXN000083,PRJ000020,MP00003,2024-09-17,SANCTION,3212000,0,3212000,SYN_AGENCY_034,COMPLETED,2024-25
TXN000084,PRJ000020,MP00003,2025-04-24,RELEASE,3041400,0,3212000,SYN_AGENCY_034,COMPLETED,2025-26
TXN000085,PRJ000020,MP00003,2025-10-13,ADVANCE,451600,451600,2760400,SYN_CONTRACTOR_135,COMPLETED,2025-26
TXN000086,PRJ000020,MP00003,2026-06-30,EXPENDITURE,2436700,2888300,323700,SYN_CONTRACTOR_135,COMPLETED,2026-27
TXN000087,PRJ000021,MP00003,2025-01-31,SANCTION,2759300,0,2759300,SYN_AGENCY_079,COMPLETED,2024-25
TXN000088,PRJ000021,MP00003,2025-05-01,RELEASE,1174800,0,2759300,SYN_AGENCY_079,COMPLETED,2025-26
TXN000089,PRJ000021,MP00003,2025-09-14,ADVANCE,89200,89200,2670100,SYN_CONTRACTOR_136,COMPLETED,2025-26
TXN000090,PRJ000021,MP00003,2026-01-08,PAYMENT,275900,365100,2394200,SYN_CONTRACTOR_136,COMPLETED,2025-26
TXN000091,PRJ000021,MP00003,2026-02-01,EXPENDITURE,448400,813500,1945800,SYN_CONTRACTOR_136,COMPLETED,2025-26
TXN000092,PRJ000021,MP00003,2026-06-30,EXPENDITURE,339000,1152500,1606800,SYN_CONTRACTOR_136,COMPLETED,2026-27
TXN000093,PRJ000022,MP00003,2024-10-05,SANCTION,1185300,0,1185300,SYN_AGENCY_034,COMPLETED,2024-25
TXN000094,PRJ000022,MP00003,2024-12-19,RELEASE,960400,0,1185300,SYN_AGENCY_034,COMPLETED,2024-25
TXN000095,PRJ000022,MP00003,2025-03-13,ADVANCE,201200,201200,984100,SYN_CONTRACTOR_137,COMPLETED,2024-25
TXN000096,PRJ000022,MP00003,2025-04-03,EXPENDITURE,696600,897800,287500,SYN_CONTRACTOR_137,COMPLETED,2025-26
TXN000097,PRJ000023,MP00003,2024-12-29,SANCTION,2634400,0,2634400,SYN_AGENCY_032,COMPLETED,2024-25
TXN000098,PRJ000023,MP00003,2025-09-15,RELEASE,1991000,0,2634400,SYN_AGENCY_032,COMPLETED,2025-26
TXN000099,PRJ000023,MP00003,2026-06-30,ADVANCE,1733600,1733600,900800,SYN_CONTRACTOR_138,COMPLETED,2026-27
TXN000100,PRJ000024,MP00003,2024-12-17,SANCTION,470000,0,470000,SYN_AGENCY_021,COMPLETED,2024-25
TXN000101,PRJ000024,MP00003,2025-01-07,RELEASE,470000,0,470000,SYN_AGENCY_021,COMPLETED,2024-25
TXN000102,PRJ000024,MP00003,2025-02-04,ADVANCE,41500,41500,428500,SYN_CONTRACTOR_139,COMPLETED,2024-25
TXN000103,PRJ000024,MP00003,2025-03-03,EXPENDITURE,193000,234500,235500,SYN_CONTRACTOR_139,COMPLETED,2024-25
TXN000104,PRJ000024,MP00003,2025-03-19,PAYMENT,202700,437200,32800,SYN_VENDOR_053,COMPLETED,2024-25
TXN000105,PRJ000025,MP00003,2024-07-01,SANCTION,4867600,0,4867600,SYN_AGENCY_013,COMPLETED,2024-25
TXN000106,PRJ000025,MP00003,2025-03-12,RELEASE,4867600,0,4867600,SYN_AGENCY_013,COMPLETED,2024-25
TXN000107,PRJ000025,MP00003,2025-08-30,ADVANCE,776000,776000,4091600,SYN_CONTRACTOR_140,COMPLETED,2025-26
TXN000108,PRJ000025,MP00003,2026-06-30,PAYMENT,3945600,4721600,146000,SYN_VENDOR_084,PROCESSING,2026-27
TXN000109,PRJ000026,MP00003,2024-11-20,SANCTION,430200,0,430200,SYN_AGENCY_079,COMPLETED,2024-25
TXN000110,PRJ000026,MP00003,2025-01-27,RELEASE,430200,0,430200,SYN_AGENCY_079,COMPLETED,2024-25
TXN000111,PRJ000026,MP00003,2025-04-15,ADVANCE,430200,430200,0,SYN_CONTRACTOR_141,COMPLETED,2025-26
TXN000112,PRJ000027,MP00004,2024-11-02,SANCTION,2381100,0,2381100,SYN_AGENCY_047,COMPLETED,2024-25
TXN000113,PRJ000027,MP00004,2025-09-05,RELEASE,1718000,0,2381100,SYN_AGENCY_047,COMPLETED,2025-26
TXN000114,PRJ000027,MP00004,2026-05-19,ADVANCE,1518600,1518600,862500,SYN_CONTRACTOR_142,COMPLETED,2026-27
TXN000115,PRJ000028,MP00004,2024-09-08,SANCTION,688900,0,688900,SYN_AGENCY_046,COMPLETED,2024-25
TXN000116,PRJ000028,MP00004,2024-11-05,RELEASE,688900,0,688900,SYN_AGENCY_046,COMPLETED,2024-25
TXN000117,PRJ000028,MP00004,2024-12-19,ADVANCE,145600,145600,543300,SYN_CONTRACTOR_143,COMPLETED,2024-25
TXN000118,PRJ000028,MP00004,2025-02-27,EXPENDITURE,521100,666700,22200,SYN_VENDOR_057,COMPLETED,2024-25
TXN000119,PRJ000029,MP00004,2024-11-06,SANCTION,714600,0,714600,SYN_AGENCY_007,COMPLETED,2024-25
TXN000120,PRJ000029,MP00004,2024-12-14,RELEASE,714600,0,714600,SYN_AGENCY_007,COMPLETED,2024-25
TXN000121,PRJ000029,MP00004,2025-01-20,ADVANCE,64300,64300,650300,SYN_CONTRACTOR_144,COMPLETED,2024-25
TXN000122,PRJ000029,MP00004,2025-02-26,PAYMENT,294600,358900,355700,SYN_CONTRACTOR_144,COMPLETED,2024-25
TXN000123,PRJ000029,MP00004,2025-03-27,EXPENDITURE,355700,714600,0,SYN_CONTRACTOR_144,COMPLETED,2024-25
TXN000124,PRJ000030,MP00004,2024-09-30,SANCTION,2238300,0,2238300,SYN_AGENCY_058,COMPLETED,2024-25
TXN000125,PRJ000030,MP00004,2025-07-06,RELEASE,1707600,0,2238300,SYN_AGENCY_058,COMPLETED,2025-26
TXN000126,PRJ000030,MP00004,2026-05-26,ADVANCE,1631000,1631000,607300,SYN_CONTRACTOR_166,COMPLETED,2026-27
TXN000127,PRJ000031,MP00004,2025-04-12,SANCTION,1089800,0,1089800,SYN_AGENCY_020,COMPLETED,2025-26
TXN000128,PRJ000031,MP00004,2025-08-30,RELEASE,152600,0,1089800,SYN_AGENCY_020,COMPLETED,2025-26
TXN000129,PRJ000031,MP00004,2026-01-02,ADVANCE,19700,19700,1070100,SYN_CONTRACTOR_167,COMPLETED,2025-26
TXN000130,PRJ000031,MP00004,2026-01-03,PAYMENT,115700,135400,954400,SYN_VENDOR_081,COMPLETED,2025-26
TXN000131,PRJ000032,MP00004,2024-08-06,SANCTION,2582500,0,2582500,SYN_AGENCY_025,COMPLETED,2024-25
TXN000132,PRJ000032,MP00004,2024-10-29,RELEASE,2582500,0,2582500,SYN_AGENCY_025,COMPLETED,2024-25
TXN000133,PRJ000032,MP00004,2025-01-28,ADVANCE,345900,345900,2236600,SYN_CONTRACTOR_168,COMPLETED,2024-25
TXN000134,PRJ000032,MP00004,2025-04-14,EXPENDITURE,2098400,2444300,138200,SYN_CONTRACTOR_168,COMPLETED,2025-26
TXN000135,PRJ000033,MP00004,2024-11-10,SANCTION,2985400,0,2985400,SYN_AGENCY_074,COMPLETED,2024-25
TXN000136,PRJ000033,MP00004,2024-12-19,RELEASE,2929200,0,2985400,SYN_AGENCY_074,COMPLETED,2024-25
TXN000137,PRJ000033,MP00004,2025-02-18,ADVANCE,267000,267000,2718400,SYN_CONTRACTOR_169,COMPLETED,2024-25
TXN000138,PRJ000033,MP00004,2025-04-05,PAYMENT,1118100,1385100,1600300,SYN_CONTRACTOR_169,COMPLETED,2025-26
TXN000139,PRJ000033,MP00004,2025-05-04,EXPENDITURE,1472400,2857500,127900,SYN_CONTRACTOR_169,COMPLETED,2025-26
TXN000140,PRJ000034,MP00004,2024-10-26,SANCTION,1655400,0,1655400,SYN_AGENCY_032,COMPLETED,2024-25
TXN000141,PRJ000034,MP00004,2024-12-25,RELEASE,1655400,0,1655400,SYN_AGENCY_032,COMPLETED,2024-25
TXN000142,PRJ000034,MP00004,2025-02-05,ADVANCE,325200,325200,1330200,SYN_CONTRACTOR_170,COMPLETED,2024-25
TXN000143,PRJ000034,MP00004,2025-04-05,EXPENDITURE,1284800,325200,1330200,SYN_CONTRACTOR_170,FAILED,2025-26
TXN000144,PRJ000035,MP00004,2025-04-19,SANCTION,1166500,0,1166500,SYN_AGENCY_076,COMPLETED,2025-26
TXN000145,PRJ000035,MP00004,2025-09-08,RELEASE,811200,0,1166500,SYN_AGENCY_076,COMPLETED,2025-26
TXN000146,PRJ000035,MP00004,2025-12-28,ADVANCE,118900,118900,1047600,SYN_CONTRACTOR_171,COMPLETED,2025-26
TXN000147,PRJ000035,MP00004,2026-05-10,PAYMENT,593800,712700,453800,SYN_CONTRACTOR_171,COMPLETED,2026-27
TXN000148,PRJ000036,MP00005,2025-02-22,SANCTION,1825900,0,1825900,SYN_AGENCY_042,COMPLETED,2024-25
TXN000149,PRJ000036,MP00005,2025-11-12,RELEASE,545900,0,1825900,SYN_AGENCY_042,COMPLETED,2025-26
TXN000150,PRJ000036,MP00005,2026-06-30,ADVANCE,526300,526300,1299600,SYN_CONTRACTOR_172,COMPLETED,2026-27
TXN000151,PRJ000037,MP00005,2024-08-11,SANCTION,1620400,0,1620400,SYN_AGENCY_034,COMPLETED,2024-25
TXN000152,PRJ000037,MP00005,2024-09-25,RELEASE,1620400,0,1620400,SYN_AGENCY_034,COMPLETED,2024-25
TXN000153,PRJ000037,MP00005,2024-11-12,ADVANCE,265200,265200,1355200,SYN_CONTRACTOR_173,COMPLETED,2024-25
TXN000154,PRJ000037,MP00005,2025-01-06,EXPENDITURE,1355200,1620400,0,SYN_CONTRACTOR_173,COMPLETED,2024-25
TXN000155,PRJ000038,MP00005,2025-04-28,SANCTION,3222200,0,3222200,SYN_AGENCY_055,COMPLETED,2025-26
TXN000156,PRJ000038,MP00005,2025-07-19,RELEASE,391200,0,3222200,SYN_AGENCY_055,COMPLETED,2025-26
TXN000157,PRJ000038,MP00005,2025-10-10,ADVANCE,17900,17900,3204300,SYN_CONTRACTOR_174,COMPLETED,2025-26
TXN000158,PRJ000038,MP00005,2025-12-26,EXPENDITURE,89200,107100,3115100,SYN_CONTRACTOR_174,COMPLETED,2025-26
TXN000159,PRJ000038,MP00005,2026-05-04,PAYMENT,134500,241600,2980600,SYN_CONTRACTOR_174,COMPLETED,2026-27
TXN000160,PRJ000038,MP00005,2026-06-14,EXPENDITURE,108000,349600,2872600,SYN_CONTRACTOR_174,COMPLETED,2026-27
TXN000161,PRJ000039,MP00005,2024-12-23,SANCTION,1100400,0,1100400,SYN_AGENCY_028,COMPLETED,2024-25
TXN000162,PRJ000039,MP00005,2025-09-06,RELEASE,784700,0,1100400,SYN_AGENCY_028,COMPLETED,2025-26
TXN000163,PRJ000039,MP00005,2026-04-15,ADVANCE,694100,694100,406300,SYN_CONTRACTOR_175,COMPLETED,2026-27
TXN000164,PRJ000040,MP00005,2024-09-19,SANCTION,1600300,0,1600300,SYN_AGENCY_034,COMPLETED,2024-25
TXN000165,PRJ000040,MP00005,2025-07-05,RELEASE,1070200,0,1600300,SYN_AGENCY_034,COMPLETED,2025-26
TXN000166,PRJ000040,MP00005,2026-06-20,ADVANCE,1020500,1020500,579800,SYN_CONTRACTOR_017,PENDING,2026-27
TXN000167,PRJ000041,MP00005,2024-12-07,SANCTION,1332300,0,1332300,SYN_AGENCY_041,COMPLETED,2024-25
TXN000168,PRJ000041,MP00005,2025-07-11,RELEASE,866300,0,1332300,SYN_AGENCY_041,COMPLETED,2025-26
TXN000169,PRJ000041,MP00005,2026-01-04,ADVANCE,96700,96700,1235600,SYN_CONTRACTOR_018,COMPLETED,2025-26
TXN000170,PRJ000041,MP00005,2026-04-29,PAYMENT,701500,798200,534100,SYN_VENDOR_082,COMPLETED,2026-27
TXN000171,PRJ000042,MP00005,2024-10-01,SANCTION,1408700,0,1408700,SYN_AGENCY_063,COMPLETED,2024-25
TXN000172,PRJ000042,MP00005,2024-11-20,RELEASE,1282000,0,1408700,SYN_AGENCY_063,COMPLETED,2024-25
TXN000173,PRJ000042,MP00005,2025-01-20,ADVANCE,270000,270000,1138700,SYN_CONTRACTOR_019,COMPLETED,2024-25
TXN000174,PRJ000042,MP00005,2025-03-07,PAYMENT,1009000,1279000,129700,SYN_CONTRACTOR_019,COMPLETED,2024-25
TXN000175,PRJ000042,MP00005,2025-05-04,ADJUSTMENT,28600,1307600,101100,SYN_AGENCY_063,COMPLETED,2025-26
TXN000176,PRJ000043,MP00005,2024-07-01,SANCTION,2598300,0,2598300,SYN_AGENCY_033,COMPLETED,2024-25
TXN000177,PRJ000043,MP00005,2024-12-06,RELEASE,2301900,0,2598300,SYN_AGENCY_033,COMPLETED,2024-25
TXN000178,PRJ000043,MP00005,2025-04-15,ADVANCE,513800,513800,2084500,SYN_CONTRACTOR_020,COMPLETED,2025-26
TXN000179,PRJ000043,MP00005,2025-07-17,EXPENDITURE,404400,513800,2084500,SYN_VENDOR_024,FAILED,2025-26
TXN000180,PRJ000043,MP00005,2025-12-06,PAYMENT,304600,818400,1779900,SYN_CONTRACTOR_020,COMPLETED,2025-26
TXN000181,PRJ000043,MP00005,2026-06-30,PAYMENT,885400,1703800,894500,SYN_CONTRACTOR_020,COMPLETED,2026-27
TXN000182,PRJ000044,MP00005,2024-07-01,SANCTION,2321400,0,2321400,SYN_AGENCY_010,COMPLETED,2024-25
TXN000183,PRJ000044,MP00005,2025-07-15,RELEASE,262400,0,2321400,SYN_AGENCY_010,COMPLETED,2025-26
TXN000184,PRJ000044,MP00005,2026-04-09,ADVANCE,257000,257000,2064400,SYN_CONTRACTOR_021,COMPLETED,2026-27
TXN000185,PRJ000045,MP00005,2024-07-01,SANCTION,1804600,0,1804600,SYN_AGENCY_045,COMPLETED,2024-25
TXN000186,PRJ000045,MP00005,2024-11-08,RELEASE,279500,0,1804600,SYN_AGENCY_045,COMPLETED,2024-25
TXN000187,PRJ000045,MP00005,2025-04-30,ADVANCE,25700,25700,1778900,SYN_CONTRACTOR_022,COMPLETED,2025-26
TXN000188,PRJ000045,MP00005,2025-09-13,PAYMENT,93700,119400,1685200,SYN_CONTRACTOR_022,COMPLETED,2025-26
TXN000189,PRJ000045,MP00005,2026-04-14,PAYMENT,125700,245100,1559500,SYN_CONTRACTOR_022,COMPLETED,2026-27
TXN000190,PRJ000045,MP00005,2026-06-30,ADJUSTMENT,19800,264900,1539700,SYN_AGENCY_045,COMPLETED,2026-27
TXN000191,PRJ000046,MP00006,2024-07-01,SANCTION,2369700,0,2369700,SYN_AGENCY_074,COMPLETED,2024-25
TXN000192,PRJ000046,MP00006,2025-01-09,RELEASE,866500,0,2369700,SYN_AGENCY_074,COMPLETED,2024-25
TXN000193,PRJ000046,MP00006,2025-05-09,ADVANCE,68500,68500,2301200,SYN_CONTRACTOR_023,COMPLETED,2025-26
TXN000194,PRJ000046,MP00006,2026-02-05,EXPENDITURE,306100,374600,1995100,SYN_CONTRACTOR_023,COMPLETED,2025-26
TXN000195,PRJ000046,MP00006,2026-05-22,PAYMENT,458300,832900,1536800,SYN_CONTRACTOR_023,COMPLETED,2026-27
TXN000196,PRJ000047,MP00006,2025-05-07,SANCTION,1985000,0,1985000,SYN_AGENCY_036,COMPLETED,2025-26
TXN000197,PRJ000047,MP00006,2025-06-17,RELEASE,70000,0,1985000,SYN_AGENCY_036,COMPLETED,2025-26
TXN000198,PRJ000048,MP00006,2024-08-27,SANCTION,2474500,0,2474500,SYN_AGENCY_080,COMPLETED,2024-25
TXN000199,PRJ000048,MP00006,2024-12-25,RELEASE,2425700,0,2474500,SYN_AGENCY_080,COMPLETED,2024-25
TXN000200,PRJ000048,MP00006,2025-05-13,ADVANCE,2175700,2175700,298800,SYN_CONTRACTOR_025,COMPLETED,2025-26
TXN000201,PRJ000049,MP00006,2024-07-01,SANCTION,2632800,0,2632800,SYN_AGENCY_001,COMPLETED,2024-25
TXN000202,PRJ000049,MP00006,2025-01-31,RELEASE,1766300,0,2632800,SYN_AGENCY_001,COMPLETED,2024-25
TXN000203,PRJ000049,MP00006,2025-11-25,ADVANCE,245000,245000,2387800,SYN_CONTRACTOR_026,COMPLETED,2025-26
TXN000204,PRJ000049,MP00006,2026-06-30,PAYMENT,1513500,1758500,874300,SYN_CONTRACTOR_026,COMPLETED,2026-27
TXN000205,PRJ000050,MP00006,2025-01-22,SANCTION,2262400,0,2262400,SYN_AGENCY_073,COMPLETED,2024-25
TXN000206,PRJ000050,MP00006,2025-11-02,RELEASE,1186000,0,2262400,SYN_AGENCY_073,COMPLETED,2025-26
