state_ut,district,block_or_urban,is_urban
Maharashtra,Hingoli,Kalamnuri,0
Maharashtra,Hingoli,Sengaon,0
Maharashtra,Hingoli,Aundha Nagnath,0
Maharashtra,Hingoli,Hingoli Nagar Panchayat,1
Maharashtra,Thane,Thane-I,1
Maharashtra,Thane,Thane-II,1
Maharashtra,Thane,Thane-III,1
Maharashtra,Thane,Thane Municipal Corporation,1
Maharashtra,Aurangabad,Aurangabad-I,1
Maharashtra,Aurangabad,Aurangabad-II,1
Maharashtra,Aurangabad,Aurangabad-III,1
Maharashtra,Aurangabad,Aurangabad Municipal Corporation,1
Maharashtra,Solapur,Solapur-I,0
Maharashtra,Solapur,Solapur-II,0
Maharashtra,Solapur,Solapur-III,0
Maharashtra,Solapur,Solapur Nagar Panchayat,1
Maharashtra,Kolhapur,Kolhapur-I,0
Maharashtra,Kolhapur,Kolhapur-II,0
Maharashtra,Kolhapur,Kolhapur-III,0
Maharashtra,Kolhapur,Kolhapur Nagar Panchayat,1
Maharashtra,Amravati,Amravati-I,0
Maharashtra,Amravati,Amravati-II,0
Maharashtra,Amravati,Amravati-III,0
Maharashtra,Amravati,Amravati Nagar Panchayat,1
Maharashtra,Satara,Satara-I,0
Maharashtra,Satara,Satara-II,0
Maharashtra,Satara,Satara-III,0
Maharashtra,Satara,Satara Nagar Panchayat,1
Maharashtra,Latur,Latur-I,0
Maharashtra,Latur,Latur-II,0
Maharashtra,Latur,Latur-III,0
Maharashtra,Latur,Latur Nagar Panchayat,1
Tamil Nadu,Chennai,Egmore,1
Tamil Nadu,Chennai,Mylapore,1
Tamil Nadu,Chennai,Ambattur,1
Tamil Nadu,Chennai,Perambur,1
Tamil Nadu,Chennai,Chennai Municipal Corporation,1
Tamil Nadu,Coimbatore,Pollachi,1
Tamil Nadu,Coimbatore,Mettupalayam,1
Tamil Nadu,Coimbatore,Sulur,1
Tamil Nadu,Coimbatore,Annur,1
Tamil Nadu,Coimbatore,Coimbatore Municipal Corporation,1
Tamil Nadu,Madurai,Melur,1
Tamil Nadu,Madurai,Vadipatti,1
Tamil Nadu,Madurai,Thirumangalam,1
Tamil Nadu,Madurai,Usilampatti,1
Tamil Nadu,Madurai,Madurai Municipal Corporation,1
Tamil Nadu,Salem,Attur,1
Tamil Nadu,Salem,Mettur,1
Tamil Nadu,Salem,Omalur,1
Tamil Nadu,Salem,Sankagiri,1
Tamil Nadu,Salem,Salem Municipal Corporation,1
Tamil Nadu,Tiruchirappalli,Lalgudi,1
Tamil Nadu,Tiruchirappalli,Musiri,1
Tamil Nadu,Tiruchirappalli,Manapparai,1
Tamil Nadu,Tiruchirappalli,Thuraiyur,1
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Municipal Corporation,1
Tamil Nadu,Tirunelveli,Ambasamudram,0
Tamil Nadu,Tirunelveli,Nanguneri,0
Tamil Nadu,Tirunelveli,Radhapuram,0
Tamil Nadu,Tirunelveli,Cheranmahadevi,0
Tamil Nadu,Tirunelveli,Tirunelveli Nagar Panchayat,1
Tamil Nadu,Vellore,Vellore-I,0
Tamil Nadu,Vellore,Vellore-II,0
Tamil Nadu,Vellore,Vellore-III,0
Tamil Nadu,Vellore,Vellore Nagar Panchayat,1
Tamil Nadu,Erode,Erode-I,0
Tamil Nadu,Erode,Erode-II,0
Tamil Nadu,Erode,Erode-III,0
Tamil Nadu,Erode,Erode Nagar Panchayat,1
Tamil Nadu,Thanjavur,Thanjavur-I,0
Tamil Nadu,Thanjavur,Thanjavur-II,0
Tamil Nadu,Thanjavur,Thanjavur-III,0
Tamil Nadu,Thanjavur,Thanjavur Nagar Panchayat,1
Tamil Nadu,Kanchipuram,Kanchipuram-I,0
Tamil Nadu,Kanchipuram,Kanchipuram-II,0
Tamil Nadu,Kanchipuram,Kanchipuram-III,0
Tamil Nadu,Kanchipuram,Kanchipuram Nagar Panchayat,1
Tamil Nadu,Dindigul,Dindigul-I,0
Tamil Nadu,Dindigul,Dindigul-II,0
Tamil Nadu,Dindigul,Dindigul-III,0
Tamil Nadu,Dindigul,Dindigul Nagar Panchayat,1
Tamil Nadu,Cuddalore,Cuddalore-I,0
Tamil Nadu,Cuddalore,Cuddalore-II,0
Tamil Nadu,Cuddalore,Cuddalore-III,0
Tamil Nadu,Cuddalore,Cuddalore Nagar Panchayat,1
Bihar,Patna,Danapur,1
Bihar,Patna,Fatuha,1
Bihar,Patna,Barh,1
Bihar,Patna,Masaurhi,1
Bihar,Patna,Patna Municipal Corporation,1
Bihar,Gaya,Bodh Gaya,0
Bihar,Gaya,Tekari,0
Bihar,Gaya,Sherghati,0
Bihar,Gaya,Belaganj,0
Bihar,Gaya,Gaya Nagar Panchayat,1
Bihar,Muzaffarpur,Kanti,0
Bihar,Muzaffarpur,Motipur,0
Bihar,Muzaffarpur,Sakra,0
Bihar,Muzaffarpur,Saraiya,0
Bihar,Muzaffarpur,Muzaffarpur Nagar Panchayat,1
Bihar,Bhagalpur,Nathnagar,0
Bihar,Bhagalpur,Kahalgaon,0
Bihar,Bhagalpur,Sultanganj,0
Bihar,Bhagalpur,Goradih,0
Bihar,Bhagalpur,Bhagalpur Nagar Panchayat,1
Bihar,Darbhanga,Darbhanga-I,0
Bihar,Darbhanga,Darbhanga-II,0
Bihar,Darbhanga,Darbhanga-III,0
Bihar,Darbhanga,Darbhanga Nagar Panchayat,1
Bihar,Purnia,Purnia-I,0
Bihar,Purnia,Purnia-II,0
Bihar,Purnia,Purnia-III,0
Bihar,Purnia,Purnia Nagar Panchayat,1
Bihar,Saran,Saran-I,0
Bihar,Saran,Saran-II,0
Bihar,Saran,Saran-III,0
Bihar,Saran,Saran Nagar Panchayat,1
Bihar,Begusarai,Begusarai-I,0
Bihar,Begusarai,Begusarai-II,0
Bihar,Begusarai,Begusarai-III,0
Bihar,Begusarai,Begusarai Nagar Panchayat,1
Bihar,Nalanda,Nalanda-I,0
Bihar,Nalanda,Nalanda-II,0
Bihar,Nalanda,Nalanda-III,0
Bihar,Nalanda,Nalanda Nagar Panchayat,1
Bihar,Rohtas,Rohtas-I,0
Bihar,Rohtas,Rohtas-II,0
Bihar,Rohtas,Rohtas-III,0
Bihar,Rohtas,Rohtas Nagar Panchayat,1
West Bengal,Kolkata,Ballygunge,1
West Bengal,Kolkata,Behala,1
West Bengal,Kolkata,Tollygunge,1
West Bengal,Kolkata,Jadavpur,1
West Bengal,Kolkata,Kolkata Municipal Corporation,1
West Bengal,Howrah,Bally,1
West Bengal,Howrah,Domjur,1
West Bengal,Howrah,Sankrail,1
West Bengal,Howrah,Panchla,1
West Bengal,Howrah,Howrah Municipal Corporation,1
West Bengal,Darjeeling,Kurseong,0
West Bengal,Darjeeling,Mirik,0
West Bengal,Darjeeling,Sukhiapokhri,0
West Bengal,Darjeeling,Jorebunglow,0
West Bengal,Darjeeling,Darjeeling Nagar Panchayat,1
West Bengal,North 24 Parganas,Barasat,1
West Bengal,North 24 Parganas,Barrackpore,1
West Bengal,North 24 Parganas,Bongaon,1
West Bengal,North 24 Parganas,Deganga,1
West Bengal,North 24 Parganas,North 24 Parganas Municipal Corporation,1
West Bengal,South 24 Parganas,South 24 Parganas-I,0
West Bengal,South 24 Parganas,South 24 Parganas-II,0
West Bengal,South 24 Parganas,South 24 Parganas-III,0
West Bengal,South 24 Parganas,South 24 Parganas Nagar Panchayat,1
West Bengal,Hooghly,Hooghly-I,0
West Bengal,Hooghly,Hooghly-II,0
West Bengal,Hooghly,Hooghly-III,0
West Bengal,Hooghly,Hooghly Nagar Panchayat,1
West Bengal,Nadia,Nadia-I,0
West Bengal,Nadia,Nadia-II,0
West Bengal,Nadia,Nadia-III,0
West Bengal,Nadia,Nadia Nagar Panchayat,1
West Bengal,Purba Medinipur,Purba Medinipur-I,0
West Bengal,Purba Medinipur,Purba Medinipur-II,0
West Bengal,Purba Medinipur,Purba Medinipur-III,0
West Bengal,Purba Medinipur,Purba Medinipur Nagar Panchayat,1
West Bengal,Bardhaman,Bardhaman-I,0
West Bengal,Bardhaman,Bardhaman-II,0
West Bengal,Bardhaman,Bardhaman-III,0
West Bengal,Bardhaman,Bardhaman Nagar Panchayat,1
West Bengal,Murshidabad,Murshidabad-I,0
West Bengal,Murshidabad,Murshidabad-II,0
West Bengal,Murshidabad,Murshidabad-III,0
West Bengal,Murshidabad,Murshidabad Nagar Panchayat,1
Karnataka,Bengaluru Urban,Anekal,1
Karnataka,Bengaluru Urban,Yelahanka,1
Karnataka,Bengaluru Urban,Bommanahalli,1
Karnataka,Bengaluru Urban,Dasarahalli,1
Karnataka,Bengaluru Urban,Bengaluru Urban Municipal Corporation,1
Karnataka,Mysuru,Nanjangud,1
Karnataka,Mysuru,Hunsur,1
Karnataka,Mysuru,T. Narasipura,1
Karnataka,Mysuru,Periyapatna,1
Karnataka,Mysuru,Mysuru Municipal Corporation,1
Karnataka,Belagavi,Chikodi,0
Karnataka,Belagavi,Gokak,0
Karnataka,Belagavi,Bailhongal,0
Karnataka,Belagavi,Athani,0
Karnataka,Belagavi,Belagavi Nagar Panchayat,1
Karnataka,Mangaluru,Bantwal,1
Karnataka,Mangaluru,Puttur,1
Karnataka,Mangaluru,Belthangady,1
Karnataka,Mangaluru,Sullia,1
Karnataka,Mangaluru,Mangaluru Municipal Corporation,1
Karnataka,Dharwad,Dharwad-I,0
Karnataka,Dharwad,Dharwad-II,0
Karnataka,Dharwad,Dharwad-III,0
Karnataka,Dharwad,Dharwad Nagar Panchayat,1
Karnataka,Kalaburagi,Kalaburagi-I,0
Karnataka,Kalaburagi,Kalaburagi-II,0
Karnataka,Kalaburagi,Kalaburagi-III,0
Karnataka,Kalaburagi,Kalaburagi Nagar Panchayat,1
Karnataka,Tumakuru,Tumakuru-I,0
Karnataka,Tumakuru,Tumakuru-II,0
Karnataka,Tumakuru,Tumakuru-III,0
Karnataka,Tumakuru,Tumakuru Nagar Panchayat,1
Karnataka,Shivamogga,Shivamogga-I,0
Karnataka,Shivamogga,Shivamogga-II,0
Karnataka,Shivamogga,Shivamogga-III,0
Karnataka,Shivamogga,Shivamogga Nagar Panchayat,1
Karnataka,Ballari,Ballari-I,0
Karnataka,Ballari,Ballari-II,0
Karnataka,Ballari,Ballari-III,0
Karnataka,Ballari,Ballari Nagar Panchayat,1
Karnataka,Bengaluru Rural,Bengaluru Rural-I,0
Karnataka,Bengaluru Rural,Bengaluru Rural-II,0
Karnataka,Bengaluru Rural,Bengaluru Rural-III,0
Karnataka,Bengaluru Rural,Bengaluru Rural Nagar Panchayat,1
Karnataka,Mandya,Mandya-I,0
Karnataka,Mandya,Mandya-II,0
Karnataka,Mandya,Mandya-III,0
Karnataka,Mandya,Mandya Nagar Panchayat,1
Karnataka,Hassan,Hassan-I,0
Karnataka,Hassan,Hassan-II,0
Karnataka,Hassan,Hassan-III,0
Karnataka,Hassan,Hassan Nagar Panchayat,1
Madhya Pradesh,Bhopal,Berasia,1
Madhya Pradesh,Bhopal,Phanda,1
Madhya Pradesh,Bhopal,Huzur,1
Madhya Pradesh,Bhopal,Kolar,1
Madhya Pradesh,Bhopal,Bhopal Municipal Corporation,1
Madhya Pradesh,Indore,Depalpur,1
Madhya Pradesh,Indore,Sanwer,1
Madhya Pradesh,Indore,Mhow,1
Madhya Pradesh,Indore,Hatod,1
Madhya Pradesh,Indore,Indore Municipal Corporation,1
Madhya Pradesh,Jabalpur,Sihora,1
Madhya Pradesh,Jabalpur,Patan,1
Madhya Pradesh,Jabalpur,Panagar,1
Madhya Pradesh,Jabalpur,Kundam,1
Madhya Pradesh,Jabalpur,Jabalpur Municipal Corporation,1
Madhya Pradesh,Gwalior,Dabra,1
Madhya Pradesh,Gwalior,Bhitarwar,1
Madhya Pradesh,Gwalior,Morar,1
Madhya Pradesh,Gwalior,Ghatigaon,1
Madhya Pradesh,Gwalior,Gwalior Municipal Corporation,1
Madhya Pradesh,Ujjain,Ujjain-I,0
Madhya Pradesh,Ujjain,Ujjain-II,0
Madhya Pradesh,Ujjain,Ujjain-III,0
Madhya Pradesh,Ujjain,Ujjain Nagar Panchayat,1
Madhya Pradesh,Sagar,Sagar-I,0
Madhya Pradesh,Sagar,Sagar-II,0
Madhya Pradesh,Sagar,Sagar-III,0
Madhya Pradesh,Sagar,Sagar Nagar Panchayat,1
Madhya Pradesh,Rewa,Rewa-I,0
Madhya Pradesh,Rewa,Rewa-II,0
Madhya Pradesh,Rewa,Rewa-III,0
Madhya Pradesh,Rewa,Rewa Nagar Panchayat,1
Madhya Pradesh,Satna,Satna-I,0
Madhya Pradesh,Satna,Satna-II,0
Madhya Pradesh,Satna,Satna-III,0
Madhya Pradesh,Satna,Satna Nagar Panchayat,1
Madhya Pradesh,Chhindwara,Chhindwara-I,0
Madhya Pradesh,Chhindwara,Chhindwara-II,0
Madhya Pradesh,Chhindwara,Chhindwara-III,0
Madhya Pradesh,Chhindwara,Chhindwara Nagar Panchayat,1
Madhya Pradesh,Dewas,Dewas-I,0
Madhya Pradesh,Dewas,Dewas-II,0
Madhya Pradesh,Dewas,Dewas-III,0
Madhya Pradesh,Dewas,Dewas Nagar Panchayat,1
Andhra Pradesh,Guntur,Tenali,1
Andhra Pradesh,Guntur,Bapatla,1
Andhra Pradesh,Guntur,Narasaraopet,1
Andhra Pradesh,Guntur,Sattenapalle,1
Andhra Pradesh,Guntur,Guntur Municipal Corporation,1
Andhra Pradesh,Krishna,Machilipatnam,0
Andhra Pradesh,Krishna,Gudivada,0
Andhra Pradesh,Krishna,Nuzvid,0
Andhra Pradesh,Krishna,Pedana,0
Andhra Pradesh,Krishna,Krishna Nagar Panchayat,1
Andhra Pradesh,Visakhapatnam,Bheemunipatnam,1
Andhra Pradesh,Visakhapatnam,Anakapalle,1
Andhra Pradesh,Visakhapatnam,Paderu,1
Andhra Pradesh,Visakhapatnam,Narsipatnam,1
Andhra Pradesh,Visakhapatnam,Visakhapatnam Municipal Corporation,1
Andhra Pradesh,Tirupati,Chandragiri,1
Andhra Pradesh,Tirupati,Renigunta,1
Andhra Pradesh,Tirupati,Srikalahasti,1
Andhra Pradesh,Tirupati,Puttur,1
Andhra Pradesh,Tirupati,Tirupati Municipal Corporation,1
Andhra Pradesh,Kurnool,Kurnool-I,0
Andhra Pradesh,Kurnool,Kurnool-II,0
Andhra Pradesh,Kurnool,Kurnool-III,0
Andhra Pradesh,Kurnool,Kurnool Nagar Panchayat,1
Andhra Pradesh,Anantapur,Anantapur-I,0
Andhra Pradesh,Anantapur,Anantapur-II,0
Andhra Pradesh,Anantapur,Anantapur-III,0
Andhra Pradesh,Anantapur,Anantapur Nagar Panchayat,1
Andhra Pradesh,Nellore,Nellore-I,0
Andhra Pradesh,Nellore,Nellore-II,0
Andhra Pradesh,Nellore,Nellore-III,0
Andhra Pradesh,Nellore,Nellore Nagar Panchayat,1
Andhra Pradesh,East Godavari,East Godavari-I,0
Andhra Pradesh,East Godavari,East Godavari-II,0
Andhra Pradesh,East Godavari,East Godavari-III,0
Andhra Pradesh,East Godavari,East Godavari Nagar Panchayat,1
Andhra Pradesh,West Godavari,West Godavari-I,0
Andhra Pradesh,West Godavari,West Godavari-II,0
Andhra Pradesh,West Godavari,West Godavari-III,0
Andhra Pradesh,West Godavari,West Godavari Nagar Panchayat,1
Andhra Pradesh,Chittoor,Chittoor-I,0
Andhra Pradesh,Chittoor,Chittoor-II,0
Andhra Pradesh,Chittoor,Chittoor-III,0
Andhra Pradesh,Chittoor,Chittoor Nagar Panchayat,1
Rajasthan,Jaipur,Amber,1
Rajasthan,Jaipur,Chomu,1
Rajasthan,Jaipur,Sanganer,1
Rajasthan,Jaipur,Bassi,1
Rajasthan,Jaipur,Jaipur Municipal Corporation,1
Rajasthan,Jodhpur,Phalodi,1
Rajasthan,Jodhpur,Osian,1
Rajasthan,Jodhpur,Bilara,1
Rajasthan,Jodhpur,Shergarh,1
Rajasthan,Jodhpur,Jodhpur Municipal Corporation,1
Rajasthan,Udaipur,Girwa,1
Rajasthan,Udaipur,Mavli,1
Rajasthan,Udaipur,Salumbar,1
Rajasthan,Udaipur,Kherwara,1
Rajasthan,Udaipur,Udaipur Municipal Corporation,1
Rajasthan,Kota,Ladpura,1
Rajasthan,Kota,Ramganjmandi,1
Rajasthan,Kota,Digod,1
Rajasthan,Kota,Pipalda,1
Rajasthan,Kota,Kota Municipal Corporation,1
Rajasthan,Ajmer,Ajmer-I,0
Rajasthan,Ajmer,Ajmer-II,0
Rajasthan,Ajmer,Ajmer-III,0
Rajasthan,Ajmer,Ajmer Nagar Panchayat,1
Rajasthan,Bikaner,Bikaner-I,0
Rajasthan,Bikaner,Bikaner-II,0
Rajasthan,Bikaner,Bikaner-III,0
Rajasthan,Bikaner,Bikaner Nagar Panchayat,1
Rajasthan,Alwar,Alwar-I,0
Rajasthan,Alwar,Alwar-II,0
Rajasthan,Alwar,Alwar-III,0
Rajasthan,Alwar,Alwar Nagar Panchayat,1
Rajasthan,Bharatpur,Bharatpur-I,0
Rajasthan,Bharatpur,Bharatpur-II,0
Rajasthan,Bharatpur,Bharatpur-III,0
Rajasthan,Bharatpur,Bharatpur Nagar Panchayat,1
Rajasthan,Sikar,Sikar-I,0
Rajasthan,Sikar,Sikar-II,0
Rajasthan,Sikar,Sikar-III,0
Rajasthan,Sikar,Sikar Nagar Panchayat,1
Rajasthan,Pali,Pali-I,0
Rajasthan,Pali,Pali-II,0
Rajasthan,Pali,Pali-III,0
Rajasthan,Pali,Pali Nagar Panchayat,1
Gujarat,Ahmedabad,Daskroi,1
Gujarat,Ahmedabad,Sanand,1
Gujarat,Ahmedabad,Dhandhuka,1
Gujarat,Ahmedabad,Viramgam,1
Gujarat,Ahmedabad,Ahmedabad Municipal Corporation,1
Gujarat,Surat,Choryasi,1
Gujarat,Surat,Bardoli,1
Gujarat,Surat,Olpad,1
Gujarat,Surat,Mandvi,1
Gujarat,Surat,Surat Municipal Corporation,1
Gujarat,Vadodara,Padra,1
Gujarat,Vadodara,Savli,1
Gujarat,Vadodara,Karjan,1
Gujarat,Vadodara,Dabhoi,1
Gujarat,Vadodara,Vadodara Municipal Corporation,1
Gujarat,Rajkot,Gondal,1
Gujarat,Rajkot,Jetpur,1
Gujarat,Rajkot,Dhoraji,1
Gujarat,Rajkot,Jasdan,1
Gujarat,Rajkot,Rajkot Municipal Corporation,1
Gujarat,Bhavnagar,Bhavnagar-I,0
Gujarat,Bhavnagar,Bhavnagar-II,0
Gujarat,Bhavnagar,Bhavnagar-III,0
Gujarat,Bhavnagar,Bhavnagar Nagar Panchayat,1
Gujarat,Jamnagar,Jamnagar-I,0
Gujarat,Jamnagar,Jamnagar-II,0
Gujarat,Jamnagar,Jamnagar-III,0
Gujarat,Jamnagar,Jamnagar Nagar Panchayat,1
Gujarat,Junagadh,Junagadh-I,0
Gujarat,Junagadh,Junagadh-II,0
Gujarat,Junagadh,Junagadh-III,0
Gujarat,Junagadh,Junagadh Nagar Panchayat,1
Gujarat,Gandhinagar,Gandhinagar-I,1
Gujarat,Gandhinagar,Gandhinagar-II,1
Gujarat,Gandhinagar,Gandhinagar-III,1
Gujarat,Gandhinagar,Gandhinagar Municipal Corporation,1
Gujarat,Kutch,Kutch-I,0
Gujarat,Kutch,Kutch-II,0
Gujarat,Kutch,Kutch-III,0
Gujarat,Kutch,Kutch Nagar Panchayat,1
Gujarat,Mehsana,Mehsana-I,0
Gujarat,Mehsana,Mehsana-II,0
Gujarat,Mehsana,Mehsana-III,0
Gujarat,Mehsana,Mehsana Nagar Panchayat,1
Kerala,Ernakulam,Aluva,1
Kerala,Ernakulam,Kothamangalam,1
Kerala,Ernakulam,Muvattupuzha,1
Kerala,Ernakulam,Paravur,1
Kerala,Ernakulam,Ernakulam Municipal Corporation,1
Kerala,Thiruvananthapuram,Nedumangad,1
Kerala,Thiruvananthapuram,Neyyattinkara,1
Kerala,Thiruvananthapuram,Chirayinkeezhu,1
Kerala,Thiruvananthapuram,Varkala,1
Kerala,Thiruvananthapuram,Thiruvananthapuram Municipal Corporation,1
Kerala,Kozhikode,Vadakara,1
Kerala,Kozhikode,Koyilandy,1
Kerala,Kozhikode,Thamarassery,1
Kerala,Kozhikode,Perambra,1
Kerala,Kozhikode,Kozhikode Municipal Corporation,1
Kerala,Thrissur,Chalakudy,1
Kerala,Thrissur,Kodungallur,1
Kerala,Thrissur,Irinjalakuda,1
Kerala,Thrissur,Wadakkanchery,1
Kerala,Thrissur,Thrissur Municipal Corporation,1
Kerala,Kollam,Kollam-I,0
Kerala,Kollam,Kollam-II,0
Kerala,Kollam,Kollam-III,0
Kerala,Kollam,Kollam Nagar Panchayat,1
Kerala,Kannur,Kannur-I,0
Kerala,Kannur,Kannur-II,0
Kerala,Kannur,Kannur-III,0
Kerala,Kannur,Kannur Nagar Panchayat,1
Kerala,Palakkad,Palakkad-I,0
Kerala,Palakkad,Palakkad-II,0
Kerala,Palakkad,Palakkad-III,0
Kerala,Palakkad,Palakkad Nagar Panchayat,1
Kerala,Alappuzha,Alappuzha-I,0
Kerala,Alappuzha,Alappuzha-II,0
Kerala,Alappuzha,Alappuzha-III,0
Kerala,Alappuzha,Alappuzha Nagar Panchayat,1
Kerala,Malappuram,Malappuram-I,0
Kerala,Malappuram,Malappuram-II,0
Kerala,Malappuram,Malappuram-III,0
Kerala,Malappuram,Malappuram Nagar Panchayat,1
Kerala,Kottayam,Kottayam-I,0
Kerala,Kottayam,Kottayam-II,0
Kerala,Kottayam,Kottayam-III,0
Kerala,Kottayam,Kottayam Nagar Panchayat,1
Odisha,Khordha,Balianta,1
Odisha,Khordha,Bhubaneswar,1
Odisha,Khordha,Jatni,1
Odisha,Khordha,Banpur,1
Odisha,Khordha,Khordha Municipal Corporation,1
Odisha,Cuttack,Salipur,1
Odisha,Cuttack,Niali,1
Odisha,Cuttack,Banki,1
Odisha,Cuttack,Athagarh,1
Odisha,Cuttack,Cuttack Municipal Corporation,1
Odisha,Ganjam,Chhatrapur,0
Odisha,Ganjam,Berhampur,0
Odisha,Ganjam,Aska,0
Odisha,Ganjam,Hinjilicut,0
Odisha,Ganjam,Ganjam Nagar Panchayat,1
Odisha,Sundargarh,Rourkela,0
Odisha,Sundargarh,Bonai,0
Odisha,Sundargarh,Rajgangpur,0
Odisha,Sundargarh,Kuarmunda,0
Odisha,Sundargarh,Sundargarh Nagar Panchayat,1
Odisha,Balasore,Balasore-I,0
Odisha,Balasore,Balasore-II,0
Odisha,Balasore,Balasore-III,0
Odisha,Balasore,Balasore Nagar Panchayat,1
Odisha,Sambalpur,Sambalpur-I,0
Odisha,Sambalpur,Sambalpur-II,0
Odisha,Sambalpur,Sambalpur-III,0
Odisha,Sambalpur,Sambalpur Nagar Panchayat,1
Odisha,Puri,Puri-I,0
Odisha,Puri,Puri-II,0
Odisha,Puri,Puri-III,0
Odisha,Puri,Puri Nagar Panchayat,1
Odisha,Mayurbhanj,Mayurbhanj-I,0
Odisha,Mayurbhanj,Mayurbhanj-II,0
Odisha,Mayurbhanj,Mayurbhanj-III,0
Odisha,Mayurbhanj,Mayurbhanj Nagar Panchayat,1
Odisha,Bolangir,Bolangir-I,0
Odisha,Bolangir,Bolangir-II,0
Odisha,Bolangir,Bolangir-III,0
Odisha,Bolangir,Bolangir Nagar Panchayat,1
