mp_id,mp_name,state_ut,constituency,district,house_type,allocated_amount_inr,allocation_year,data_source
MP_035,ANDREW J. SYNGKON,Meghalaya,SHILLONG,Shillong,Lok Sabha,98000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_036,ANGOMCHA BIMOL AKOIJAM,Manipur,INNER MANIPUR,Inner Manipur,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_037,ANIL BALUNI,Uttarakhand,GARHWAL,Garhwal,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_038,ANIL YESHWANT DESAI,Maharashtra,MUMBAI SOUTH CENTRAL,Mumbai South Central,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_039,ANITA NAGARSINGH CHOUHAN,Madhya Pradesh,RATLAM(ST),Ratlam(St),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_040,ANITA SUBHADARSHINI,Odisha,ASKA,Aska,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_041,Annpurna Devi,Jharkhand,KODARMA,Kodarma,Lok Sabha,166665931.8,2024-2025,Official Ministry Dataset (MP 2)
MP_042,ANOOP PRADHAN BALMIKI,Uttar Pradesh,HATHRAS (SC),Hathras (Sc),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_043,Anto Antony,Kerala,PATHANAMTHITTA,Pathanamthitta,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_044,ANUP SANJAY DHOTRE,Maharashtra,AKOLA,Akola,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_045,Anurag Sharma,Uttar Pradesh,JHANSI,Jhansi,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_046,Anurag Singh Thakur,Himachal Pradesh,HAMIRPUR_HP,Hamirpur,Lok Sabha,149570117.1,2024-2025,Official Ministry Dataset (MP 2)
MP_047,Appalanaidu Kalisetti,Andhra Pradesh,VIZIANAGARAM,Vizianagaram,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_048,ARUN BHARTI,Bihar,JAMUI(SC),Jamui(Sc),Lok Sabha,194924621.1,2024-2025,Official Ministry Dataset (MP 2)
MP_049,ARUN GOVIL,Uttar Pradesh,MEERUT,Meerut,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_050,ARUN NEHRU,Tamil Nadu,PERAMBALUR,Perambalur,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_051,ARUNA. D. K,Telangana,MAHABUBNAGAR,Mahabubnagar,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_052,ARUP CHAKRABORTY,West Bengal,BANKURA,Bankura,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_053,Arvind Dharmapuri,Telangana,NIZAMABAD,Nizamabad,Lok Sabha,281396355.1,2024-2025,Official Ministry Dataset (MP 2)
MP_054,Arvind Ganpat Sawant,Maharashtra,MUMBAI SOUTH,Mumbai South,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_055,Asaduddin Owaisi,Telangana,HYDERABAD,Hyderabad,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_056,ASHISH DUBEY,Madhya Pradesh,JABALPUR,Jabalpur,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_057,Ashok Kumar Rawat,Uttar Pradesh,MISRIKH(SC),Misrikh(Sc),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_058,Ashok Kumar Yadav,Bihar,MADHUBANI,Madhubani,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_059,Asit Kumar Mal,West Bengal,BOLPUR(SC),Bolpur(Sc),Lok Sabha,275694456.7,2024-2025,Official Ministry Dataset (MP 2)
MP_060,ATUL GARG,Uttar Pradesh,GHAZIABAD,Ghaziabad,Lok Sabha,155336470.0,2024-2025,Official Ministry Dataset (MP 2)
MP_061,AVIMANYU SETHI,Odisha,BHADRAK(SC),Bhadrak(Sc),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_062,Hon'ble Members of Parliaments,State,Constituency,Constituency,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_063,Hon'ble MP,Maharashtra,Constituency,Constituency,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_064,AWADHESH PRASAD,Uttar Pradesh,FAIZABAD,Faizabad,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_065,AZAD KIRTI JHA,West Bengal,BARDHAMAN-DURGAPUR,Bardhaman-Durgapur,Lok Sabha,179658400.0,2024-2025,Official Ministry Dataset (MP 2)
MP_066,B K PARTHASARATHI,Andhra Pradesh,HINDUPUR,Hindupur,Lok Sabha,160491894.1,2024-2025,Official Ministry Dataset (MP 2)
MP_067,BABU SINGH KUSHWAHA,Uttar Pradesh,JAUNPUR,Jaunpur,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_068,BACHHAV SHOBHA DINESH,Maharashtra,DHULE,Dhule,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_069,BAG MITALI,West Bengal,ARAMBAG(SC),Arambag(Sc),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_070,BAIJAYANT PANDA,Odisha,KENDRAPARA,Kendrapara,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_071,BAJRANG MANOHAR SONWANE,Maharashtra,BEED,Beed,Lok Sabha,165899107.2,2024-2025,Official Ministry Dataset (MP 2)
MP_072,BALABHADRA MAJHI,Odisha,NABARANGPUR(ST),Nabarangpur(St),Lok Sabha,147413962.1,2024-2025,Official Ministry Dataset (MP 2)
MP_073,Balashowry Vallabbhaneni,Andhra Pradesh,MACHILIPATNAM,Machilipatnam,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_074,BALRAM NAIK PORIKA,Telangana,MAHABUBABAD,Mahabubabad,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_075,BALWANT BASWANT WANKHADE,Maharashtra,AMRAVATI(SC),Amravati(Sc),Lok Sabha,198293678.0,2024-2025,Official Ministry Dataset (MP 2)
MP_076,BALYA MAMA SURESH GOPINATH MHATRE,Maharashtra,BHIWANDI,Bhiwandi,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_077,Bansuri Swaraj,Delhi,NEW DELHI,New Delhi,Lok Sabha,154306950.0,2024-2025,Official Ministry Dataset (MP 2)
MP_078,BAPI HALDAR,West Bengal,MATHURAPUR(SC),Mathurapur(Sc),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_079,BASAVARAJ BOMMAI,Karnataka,HAVERI,Haveri,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_080,BASTIPATI NAGARAJU PANCHALINGALA,Andhra Pradesh,KURNOOL,Kurnool,Lok Sabha,159998515.1,2024-2025,Official Ministry Dataset (MP 2)
MP_081,Bhagirath Chaudhary,Rajasthan,AJMER,Ajmer,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_082,BHAJAN LAL JATAV,Rajasthan,KARAULI-DHOLPUR(SC),Karauli-Dholpur(Sc),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_083,BHARAT SINGH KUSHWAH,Madhya Pradesh,GWALIOR,Gwalior,Lok Sabha,151455276.0,2024-2025,Official Ministry Dataset (MP 2)
MP_084,BHARATBHAI MANUBHAI SUTARIYA,Gujarat,AMRELI,Amreli,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_085,Bharatsinhji Shankarji Dabhi,Gujarat,PATAN,Patan,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_086,BHARTI PARDHI,Madhya Pradesh,BALAGHAT,Balaghat,Lok Sabha,154398389.0,2024-2025,Official Ministry Dataset (MP 2)
MP_087,BHASKAR MURLIDHAR BHAGARE,Maharashtra,DINDORI(ST),Dindori(St),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_088,BHAUSAHEB RAJARAM WAKCHAURE,Maharashtra,SHIRDI(SC),Shirdi(Sc),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_089,BHOJRAJ NAG,Chhattisgarh,KANKER(ST),Kanker(St),Lok Sabha,164672734.1,2024-2025,Official Ministry Dataset (MP 2)
MP_090,Bhola Singh,Uttar Pradesh,BULANDSHAHR(SC),Bulandshahr(Sc),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_091,BHUMARE SANDIPANRAO ASARAM,Maharashtra,AURANGABAD_MH,Aurangabad,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_092,Bhupathiraju Srinivasa varma,Andhra Pradesh,NARASAPURAM,Narasapuram,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_093,BHUPENDER YADAV,Rajasthan,ALWAR,Alwar,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_094,Hon'ble Members of Parliaments,State,Constituency,Constituency,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_095,Hon'ble MP,Maharashtra,Constituency,Constituency,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_096,BIBHU PRASAD TARAI,Odisha,JAGATSINGHPUR(SC),Jagatsinghpur(Sc),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_097,Bidyut Baran Mahato,Jharkhand,JAMSHEDPUR,Jamshedpur,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_098,BIJULI KALITA MEDHI,Assam,GUWAHATI,Guwahati,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_099,BIPLAB KUMAR DEB,Tripura,TRIPURA WEST,Tripura West,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_100,BISHNU PADA RAY,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR,Andaman And Nicobar,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_101,Hon'ble MP,Maharashtra,ISLANDS,Islands,Lok Sabha,,2024-2025,Official Ministry Dataset (MP 2)
MP_102,BRIJENDRA SINGH OLA,Rajasthan,JHUNJHUNU,Jhunjhunu,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_103,BRIJMOHAN AGRAWAL,Chhattisgarh,RAIPUR,Raipur,Lok Sabha,153766451.1,2024-2025,Official Ministry Dataset (MP 2)
MP_104,BUNTY VIVEK SAHU,Madhya Pradesh,CHHINDWARA,Chhindwara,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_105,C R Patil,Gujarat,NAVSARI,Navsari,Lok Sabha,158532494.4,2024-2025,Official Ministry Dataset (MP 2)
MP_106,C.M.RAMESH,Andhra Pradesh,ANAKAPALLE,Anakapalle,Lok Sabha,202531656.1,2024-2025,Official Ministry Dataset (MP 2)
MP_107,CAPTAIN BRIJESH CHOWTA,Karnataka,DAKSHINA KANNADA,Dakshina Kannada,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_108,CAPTAIN VIRIATO FERNANDES,Goa,SOUTH GOA,South Goa,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_109,CHAMALA KIRAN KUMAR REDDY,Telangana,BHONGIR,Bhongir,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_110,CHANDAN CHAUHAN,Uttar Pradesh,BIJNOR,Bijnor,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_111,Chandra Prakash Joshi,Rajasthan,CHITTORGARH,Chittorgarh,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_112,CHANDRA SHEKHAR,Uttar Pradesh,NAGINA(SC),Nagina(Sc),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_113,CHANDUBHAI CHHAGANBHAI SHIHORA,Gujarat,SURENDRANAGAR,Surendranagar,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_114,CHARANJIT SINGH CHANNI,Punjab,JALANDHAR(SC),Jalandhar(Sc),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_115,CHAVAN VASANTRAO BALWANTRAO,Maharashtra,NANDED,Nanded,Lok Sabha,,2024-2025,Official Ministry Dataset (MP 2)
MP_116,CHHATRA PAL SINGH GANGWAR,Uttar Pradesh,BAREILLY,Bareilly,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_117,CHHATRAPATI SHAHU SHAHAJI,Maharashtra,KOLHAPUR,Kolhapur,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_118,CHHOTELAL,Uttar Pradesh,ROBERTSGANJ(SC),Robertsganj(Sc),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_119,CHINTAMANI MAHARAJ,Chhattisgarh,SARGUJA(ST),Sarguja(St),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_120,CHIRAG PASWAN,Bihar,HAJIPUR(SC),Hajipur(Sc),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_121,CN Annadurai,Tamil Nadu,TIRUVANNAMALAI,Tiruvannamalai,Lok Sabha,148579509.1,2024-2025,Official Ministry Dataset (MP 2)
MP_122,D M Kathir Anand,Tamil Nadu,VELLORE,Vellore,Lok Sabha,160196941.1,2024-2025,Official Ministry Dataset (MP 2)
MP_123,D Ravikumar,Tamil Nadu,VILUPPURAM(SC),Viluppuram(Sc),Lok Sabha,197598306.1,2024-2025,Official Ministry Dataset (MP 2)
MP_124,Daggubati Purandeshwari,Andhra Pradesh,RAJAHMUNDRY,Rajahmundry,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_125,DAGGUMALLA PRASADA RAO,Andhra Pradesh,CHITTOOR,Chittoor,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_126,DAMODAR AGARWAL,Rajasthan,BHILWARA,Bhilwara,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_127,Hon'ble Members of Parliaments,State,Constituency,Constituency,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_128,Hon'ble MP,Maharashtra,Constituency,Constituency,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_129,DAROGA PRASAD SAROJ,Uttar Pradesh,LALGANJ (SC),Lalganj (Sc),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_130,DARSHAN SINGH CHOUDHARY,Madhya Pradesh,HOSHANGABAD,Hoshangabad,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_131,DEEPENDER SINGH HOODA,Haryana,ROHTAK,Rohtak,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_132,Devendra Alias Bhole Singh,Uttar Pradesh,AKBARPUR,Akbarpur,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_133,DEVESH CHANDRA THAKUR,Bihar,SITAMARHI,Sitamarhi,Lok Sabha,163809205.1,2024-2025,Official Ministry Dataset (MP 2)
MP_134,DEVESH SHAKYA,Uttar Pradesh,ETAH,Etah,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_135,Devusinh Jesingbhai Chauhan,Gujarat,KHEDA,Kheda,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_136,Dhairyasheel Sambhajirao Mane,Maharashtra,HATKANANGLE,Hatkanangle,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_137,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,Maharashtra,CHANDRAPUR,Chandrapur,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_138,DHARMENDRA PRADHAN,Odisha,SAMBALPUR,Sambalpur,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_139,DHARMENDRA YADAV,Uttar Pradesh,AZAMGARH,Azamgarh,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_140,DHAVAL LAXMANBHAI PATEL,Gujarat,VALSAD(ST),Valsad(St),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_141,Dileshwar Kamait,Bihar,SUPAUL,Supaul,Lok Sabha,150450930.9,2024-2025,Official Ministry Dataset (MP 2)
MP_142,Dilip Saikia,Assam,Darrang-Udalguri,Darrang-Udalguri,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_143,Dinesh Chandra Yadav,Bihar,MADHEPURA,Madhepura,Lok Sabha,150070866.1,2024-2025,Official Ministry Dataset (MP 2)
MP_144,DINESHBHAI MAKWANA,Gujarat,AHMEDABAD WEST(SC),Ahmedabad West(Sc),Lok Sabha,160434965.1,2024-2025,Official Ministry Dataset (MP 2)
MP_145,DR BYREDDY SHABARI,Andhra Pradesh,NANDYAL,Nandyal,Lok Sabha,150675889.1,2024-2025,Official Ministry Dataset (MP 2)
MP_146,DR C N MANJUNATH,Karnataka,BANGALORE RURAL,Bangalore Rural,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_147,Dr Chandra Sekhar Pemmasani,Andhra Pradesh,GUNTUR,Guntur,Lok Sabha,159774113.1,2024-2025,Official Ministry Dataset (MP 2)
MP_148,DR DHARAMVIRA GANDHI,Punjab,PATIALA,Patiala,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_149,Dr Jayanta Kumar Roy,West Bengal,JALPAIGURI(SC),Jalpaiguri(Sc),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_150,DR KALGE SHIVAJI BANDAPPA,Maharashtra,LATUR(SC),Latur(Sc),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_151,Dr Mohammad Jawed,Bihar,KISHANGANJ,Kishanganj,Lok Sabha,148669229.1,2024-2025,Official Ministry Dataset (MP 2)
MP_152,DR RAJKUMAR SANGWAN,Uttar Pradesh,BAGHPAT,Baghpat,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_153,DR RANI SRI KUMAR,Tamil Nadu,TENKASI(SC),Tenkasi(Sc),Lok Sabha,153060922.8,2024-2025,Official Ministry Dataset (MP 2)
MP_154,Dr Shashi Tharoor,Kerala,THIRUVANANTHAPURAM,Thiruvananthapuram,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_155,Dr Sukanta Majumdar,West Bengal,BALURGHAT,Balurghat,Lok Sabha,157085364.9,2024-2025,Official Ministry Dataset (MP 2)
MP_156,DR. HEMANG JOSHI,Gujarat,VADODARA,Vadodara,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_157,DR. HEMANT VISHNU SAVARA,Maharashtra,PALGHAR(ST),Palghar(St),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_158,DR. KIRSAN NAMDEO,Maharashtra,GADCHIROLI-CHIMUR(ST),Gadchiroli-Chimur(St),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_159,Hon'ble Members of Parliaments,State,Constituency,Constituency,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_160,Hon'ble MP,Maharashtra,Constituency,Constituency,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_161,DR. LATA WANKHEDE,Madhya Pradesh,SAGAR,Sagar,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_162,DR. M.P ABDUSSAMAD SAMADANI,Kerala,PONNANI,Ponnani,Lok Sabha,170434031.1,2024-2025,Official Ministry Dataset (MP 2)
MP_163,DR. MANSUKH MANDAVIYA,Gujarat,PORBANDAR,Porbandar,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_164,DR. PRABHA MALLIKARJUN,Karnataka,DAVANAGERE,Davanagere,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_165,DR. PRADEEP KUMAR PANIGRAHY,Odisha,BERHAMPUR,Berhampur,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_166,DR. PRASHANT YADAORAO PADOLE,Maharashtra,BHANDARA-GONDIYA,Bhandara-Gondiya,Lok Sabha,159680283.4,2024-2025,Official Ministry Dataset (MP 2)
MP_167,DR. RAJ KUMAR CHABBEWAL,Punjab,HOSHIARPUR(SC),Hoshiarpur(Sc),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_168,DR. RAJESH MISHRA,Madhya Pradesh,SIDHI,Sidhi,Lok Sabha,262724510.4,2024-2025,Official Ministry Dataset (MP 2)
MP_169,DR. S P SINGH,Uttar Pradesh,PRATAPGARH,Pratapgarh,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_170,DR. SHARMILA SARKAR,West Bengal,BARDHAMAN PURBA(SC),Bardhaman Purba(Sc),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_171,DR.K.SUDHAKAR,Karnataka,CHIKBALLAPUR,Chikballapur,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_172,DR.MALLU RAVI,Telangana,NAGARKURNOOL(SC),Nagarkurnool(Sc),Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
MP_173,DULU MAHATO,Jharkhand,DHANBAD,Dhanbad,Lok Sabha,147000000.0,2024-2025,Official Ministry Dataset (MP 2)
