document_id,project_id,document_type,vendor_name,category,extracted_amount_inr,sanctioned_amount_inr,consistency_score,mismatch_flag,file_name
DOC0000014,PRJ000007,UTILIZATION_CERTIFICATE,Kolkata District Rural Development Agency (DRDA),SANITATION,5857800.0,7800000.0,99.0,False,Utilization_Certificate_PRJ000007.pdf
DOC0000015,PRJ000008,PURCHASE_BILL,SwachhBharat Sanitation Infra Ltd,PUBLIC_TOILET,1850000.0,1850000.0,95.7,False,Purchase_Bill_PRJ000008.pdf
DOC0000016,PRJ000008,UTILIZATION_CERTIFICATE,Kolkata District Rural Development Agency (DRDA),PUBLIC_TOILET,2257000.0,1850000.0,98.4,False,Utilization_Certificate_PRJ000008.pdf
DOC0000017,PRJ000009,PURCHASE_BILL,SunPower Renewable Energy Systems,SOLAR_ENERGY,5000000.0,5000000.0,91.8,False,Purchase_Bill_PRJ000009.pdf
DOC0000018,PRJ000009,UTILIZATION_CERTIFICATE,Madurai District Rural Development Agency (DRDA),SOLAR_ENERGY,5950000.0,5000000.0,96.2,False,Utilization_Certificate_PRJ000009.pdf
DOC0000019,PRJ000010,PURCHASE_BILL,Speedway Repair & Resurfacing Contractors,ROAD_REPAIR,4240000.0,4240000.0,88.8,False,Purchase_Bill_PRJ000010.pdf
DOC0000020,PRJ000010,UTILIZATION_CERTIFICATE,Madurai District Rural Development Agency (DRDA),ROAD_REPAIR,5300000.0,4240000.0,97.8,False,Utilization_Certificate_PRJ000010.pdf
DOC0000021,PRJ000011,PURCHASE_BILL,ProSport Infrastructure & Turf Solutions,SPORTS_FACILITY,1760000.0,1760000.0,96.6,False,Purchase_Bill_PRJ000011.pdf
DOC0000022,PRJ000011,UTILIZATION_CERTIFICATE,Raipur District Rural Development Agency (DRDA),SPORTS_FACILITY,1760000.0,1760000.0,94.0,False,Utilization_Certificate_PRJ000011.pdf
DOC0000023,PRJ000012,PURCHASE_BILL,MedTech Healthcare Infrastructure Ltd,HEALTHCARE,6190000.0,6190000.0,89.3,False,Purchase_Bill_PRJ000012.pdf
DOC0000024,PRJ000012,UTILIZATION_CERTIFICATE,Bhilai Municipal Corporation Infrastructure Cell,HEALTHCARE,2092220.0,6190000.0,92.7,False,Utilization_Certificate_PRJ000012.pdf
DOC0000025,PRJ000013,PURCHASE_BILL,SunPower Renewable Energy Systems,SOLAR_ENERGY,2260000.0,2260000.0,88.2,False,Purchase_Bill_PRJ000013.pdf
DOC0000026,PRJ000013,UTILIZATION_CERTIFICATE,Bengaluru Municipal Corporation Infrastructure Cell,SOLAR_ENERGY,845240.0,2260000.0,97.2,False,Utilization_Certificate_PRJ000013.pdf
DOC0000027,PRJ000014,PURCHASE_BILL,Speedway Repair & Resurfacing Contractors,ROAD_REPAIR,7310000.0,7310000.0,95.2,False,Purchase_Bill_PRJ000014.pdf
DOC0000028,PRJ000014,UTILIZATION_CERTIFICATE,Hubballi State Water Supply & Sanitation Board (WSSB),ROAD_REPAIR,3479560.0,7310000.0,90.1,False,Utilization_Certificate_PRJ000014.pdf
DOC0000029,PRJ000015,PURCHASE_BILL,MedTech Healthcare Infrastructure Ltd,HEALTHCARE,3610000.0,3610000.0,94.6,False,Purchase_Bill_PRJ000015.pdf
DOC0000030,PRJ000015,UTILIZATION_CERTIFICATE,Udaipur District Rural Development Agency (DRDA),HEALTHCARE,3034745.0,3610000.0,99.4,False,Utilization_Certificate_PRJ000015.pdf
DOC0000031,PRJ000016,PURCHASE_BILL,SunPower Renewable Energy Systems,SOLAR_ENERGY,5170000.0,5170000.0,89.6,False,Purchase_Bill_PRJ000016.pdf
DOC0000032,PRJ000016,UTILIZATION_CERTIFICATE,Udaipur Municipal Corporation Infrastructure Cell,SOLAR_ENERGY,3877500.0,5170000.0,99.7,False,Utilization_Certificate_PRJ000016.pdf
DOC0000033,PRJ000017,PURCHASE_BILL,UrbanDrain Civil Engineering Co,DRAINAGE,1130000.0,1130000.0,90.7,False,Purchase_Bill_PRJ000017.pdf
DOC0000034,PRJ000017,UTILIZATION_CERTIFICATE,Udaipur Municipal Corporation Infrastructure Cell,DRAINAGE,508500.0,1130000.0,94.2,False,Utilization_Certificate_PRJ000017.pdf
DOC0000035,PRJ000018,PURCHASE_BILL,MedTech Healthcare Infrastructure Ltd,HEALTHCARE,2240000.0,2240000.0,96.8,False,Purchase_Bill_PRJ000018.pdf
DOC0000036,PRJ000018,UTILIZATION_CERTIFICATE,Udaipur District Rural Development Agency (DRDA),HEALTHCARE,3180800.0,2240000.0,98.4,False,Utilization_Certificate_PRJ000018.pdf
DOC0000037,PRJ000019,PURCHASE_BILL,Speedway Repair & Resurfacing Contractors,ROAD_REPAIR,2400000.0,2400000.0,91.0,False,Purchase_Bill_PRJ000019.pdf
DOC0000038,PRJ000019,UTILIZATION_CERTIFICATE,Kolkata Municipal Corporation Infrastructure Cell,ROAD_REPAIR,2400000.0,2400000.0,95.8,False,Utilization_Certificate_PRJ000019.pdf
DOC0000039,PRJ000020,PURCHASE_BILL,National Civic Infrastructure Developers,COMMUNITY_HALL,7860000.0,7860000.0,94.6,False,Purchase_Bill_PRJ000020.pdf
DOC0000040,PRJ000020,UTILIZATION_CERTIFICATE,Kolkata Municipal Corporation Infrastructure Cell,COMMUNITY_HALL,3537000.0,7860000.0,93.6,False,Utilization_Certificate_PRJ000020.pdf
DOC0000041,PRJ000021,PURCHASE_BILL,SwachhBharat Sanitation Infra Ltd,PUBLIC_TOILET,5230000.0,5230000.0,95.9,False,Purchase_Bill_PRJ000021.pdf
DOC0000042,PRJ000021,UTILIZATION_CERTIFICATE,Aurangabad State Water Supply & Sanitation Board (WSSB),PUBLIC_TOILET,107128.74,5230000.0,92.7,False,Utilization_Certificate_PRJ000021.pdf
DOC0000043,PRJ000022,PURCHASE_BILL,BridgeTech Structures Pvt Ltd,BRIDGE,6800000.0,6800000.0,94.1,False,Purchase_Bill_PRJ000022.pdf
DOC0000044,PRJ000022,UTILIZATION_CERTIFICATE,Thane District Rural Development Agency (DRDA),BRIDGE,5759873.69,6800000.0,97.0,False,Utilization_Certificate_PRJ000022.pdf
DOC0000045,PRJ000023,PURCHASE_BILL,BridgeTech Structures Pvt Ltd,BRIDGE,6510000.0,6510000.0,94.9,False,Purchase_Bill_PRJ000023.pdf
DOC0000046,PRJ000023,UTILIZATION_CERTIFICATE,Darjeeling Public Works Department (PWD),BRIDGE,4882500.0,6510000.0,91.3,False,Utilization_Certificate_PRJ000023.pdf
DOC0000047,PRJ000024,PURCHASE_BILL,MedTech Healthcare Infrastructure Ltd,HEALTHCARE,5600000.0,5600000.0,96.9,False,Purchase_Bill_PRJ000024.pdf
DOC0000048,PRJ000024,UTILIZATION_CERTIFICATE,Kolkata District Rural Development Agency (DRDA),HEALTHCARE,4440800.0,5600000.0,90.9,False,Utilization_Certificate_PRJ000024.pdf
DOC0000049,PRJ000025,PURCHASE_BILL,Speedway Repair & Resurfacing Contractors,ROAD_REPAIR,1590000.0,1590000.0,95.0,False,Purchase_Bill_PRJ000025.pdf
DOC0000050,PRJ000025,UTILIZATION_CERTIFICATE,Kolkata Municipal Corporation Infrastructure Cell,ROAD_REPAIR,325950.0,1590000.0,98.2,False,Utilization_Certificate_PRJ000025.pdf
DOC0000051,PRJ000026,PURCHASE_BILL,ProSport Infrastructure & Turf Solutions,SPORTS_FACILITY,7020000.0,7020000.0,97.7,False,Purchase_Bill_PRJ000026.pdf
DOC0000052,PRJ000026,UTILIZATION_CERTIFICATE,Ujjain District Rural Development Agency (DRDA),SPORTS_FACILITY,9968400.0,7020000.0,92.1,False,Utilization_Certificate_PRJ000026.pdf
DOC0000053,PRJ000027,PURCHASE_BILL,MedTech Healthcare Infrastructure Ltd,HEALTHCARE,6920000.0,6920000.0,94.1,False,Purchase_Bill_PRJ000027.pdf
DOC0000054,PRJ000027,UTILIZATION_CERTIFICATE,Gwalior State Water Supply & Sanitation Board (WSSB),HEALTHCARE,3114000.0,6920000.0,90.9,False,Utilization_Certificate_PRJ000027.pdf
DOC0000055,PRJ000028,PURCHASE_BILL,Apex Infracon & Highway Contractors,ROAD_CONSTRUCTION,3150000.0,3150000.0,97.8,False,Purchase_Bill_PRJ000028.pdf
DOC0000056,PRJ000028,UTILIZATION_CERTIFICATE,Gwalior Public Works Department (PWD),ROAD_CONSTRUCTION,1045800.0,3150000.0,90.3,False,Utilization_Certificate_PRJ000028.pdf
DOC0000057,PRJ000029,PURCHASE_BILL,MedTech Healthcare Infrastructure Ltd,HEALTHCARE,6040000.0,6040000.0,97.8,False,Purchase_Bill_PRJ000029.pdf
DOC0000058,PRJ000029,UTILIZATION_CERTIFICATE,Sagar Municipal Corporation Infrastructure Cell,HEALTHCARE,4530000.0,6040000.0,91.1,False,Utilization_Certificate_PRJ000029.pdf
DOC0000059,PRJ000030,PURCHASE_BILL,SwachhBharat Sanitation Infra Ltd,PUBLIC_TOILET,5060000.0,5060000.0,92.6,False,Purchase_Bill_PRJ000030.pdf
DOC0000060,PRJ000030,UTILIZATION_CERTIFICATE,Ujjain District Rural Development Agency (DRDA),PUBLIC_TOILET,7235800.0,5060000.0,93.5,False,Utilization_Certificate_PRJ000030.pdf
DOC0000061,PRJ000031,PURCHASE_BILL,ProSport Infrastructure & Turf Solutions,SPORTS_FACILITY,2730000.0,2730000.0,96.0,False,Purchase_Bill_PRJ000031.pdf
DOC0000062,PRJ000031,UTILIZATION_CERTIFICATE,Sagar Municipal Corporation Infrastructure Cell,SPORTS_FACILITY,99322.52,2730000.0,99.6,False,Utilization_Certificate_PRJ000031.pdf
DOC0000063,PRJ000032,PURCHASE_BILL,SmartTransit Urban Infra Solutions,BUS_SHELTER,1510000.0,1510000.0,97.7,False,Purchase_Bill_PRJ000032.pdf
DOC0000064,PRJ000032,UTILIZATION_CERTIFICATE,Sagar Municipal Corporation Infrastructure Cell,BUS_SHELTER,466590.0,1510000.0,97.5,False,Utilization_Certificate_PRJ000032.pdf
DOC0000065,PRJ000033,PURCHASE_BILL,BridgeTech Structures Pvt Ltd,BRIDGE,2320000.0,2320000.0,88.4,False,Purchase_Bill_PRJ000033.pdf
DOC0000066,PRJ000033,UTILIZATION_CERTIFICATE,Hubballi State Water Supply & Sanitation Board (WSSB),BRIDGE,1067200.0,2320000.0,92.5,False,Utilization_Certificate_PRJ000033.pdf
DOC0000067,PRJ000034,PURCHASE_BILL,MedTech Healthcare Infrastructure Ltd,HEALTHCARE,4930000.0,4930000.0,95.8,False,Purchase_Bill_PRJ000034.pdf
DOC0000068,PRJ000034,UTILIZATION_CERTIFICATE,Hubballi State Water Supply & Sanitation Board (WSSB),HEALTHCARE,3697500.0,4930000.0,92.9,False,Utilization_Certificate_PRJ000034.pdf
DOC0000069,PRJ000035,PURCHASE_BILL,CleanWater Sanitation & Drainage Works Pvt Ltd,SANITATION,3150000.0,3150000.0,93.5,False,Purchase_Bill_PRJ000035.pdf
DOC0000070,PRJ000035,UTILIZATION_CERTIFICATE,Mysuru District Rural Development Agency (DRDA),SANITATION,2566179.05,3150000.0,94.6,False,Utilization_Certificate_PRJ000035.pdf
DOC0000071,PRJ000036,PURCHASE_BILL,ProSport Infrastructure & Turf Solutions,SPORTS_FACILITY,3510000.0,3510000.0,97.1,False,Purchase_Bill_PRJ000036.pdf
DOC0000072,PRJ000036,UTILIZATION_CERTIFICATE,Hubballi State Water Supply & Sanitation Board (WSSB),SPORTS_FACILITY,2632500.0,3510000.0,90.8,False,Utilization_Certificate_PRJ000036.pdf
DOC0000073,PRJ000037,PURCHASE_BILL,MedTech Healthcare Infrastructure Ltd,HEALTHCARE,7250000.0,7250000.0,96.4,False,Purchase_Bill_PRJ000037.pdf
DOC0000074,PRJ000037,UTILIZATION_CERTIFICATE,Bengaluru Public Works Department (PWD),HEALTHCARE,3262500.0,7250000.0,95.2,False,Utilization_Certificate_PRJ000037.pdf
DOC0000075,PRJ000038,PURCHASE_BILL,AquaPure Water Systems & Drilling Corp,WATER_SUPPLY,850000.0,850000.0,94.5,False,Purchase_Bill_PRJ000038.pdf
DOC0000076,PRJ000038,UTILIZATION_CERTIFICATE,Hubballi State Water Supply & Sanitation Board (WSSB),WATER_SUPPLY,382500.0,850000.0,94.7,False,Utilization_Certificate_PRJ000038.pdf
DOC0000077,PRJ000039,PURCHASE_BILL,TechLine IT & Lab Equipment Solutions Pvt Ltd,SCHOOL_INFRASTRUCTURE,4610000.0,4610000.0,91.9,False,Purchase_Bill_PRJ000039.pdf
DOC0000078,PRJ000039,UTILIZATION_CERTIFICATE,Varanasi District Rural Development Agency (DRDA),SCHOOL_INFRASTRUCTURE,6315700.0,4610000.0,90.9,False,Utilization_Certificate_PRJ000039.pdf
DOC0000079,PRJ000040,PURCHASE_BILL,AquaPure Water Systems & Drilling Corp,WATER_SUPPLY,3810000.0,3810000.0,90.8,False,Purchase_Bill_PRJ000040.pdf
DOC0000080,PRJ000040,UTILIZATION_CERTIFICATE,Varanasi Public Works Department (PWD),WATER_SUPPLY,1169670.0,3810000.0,96.5,False,Utilization_Certificate_PRJ000040.pdf
DOC0000081,PRJ000041,PURCHASE_BILL,MedTech Healthcare Infrastructure Ltd,HEALTHCARE,6110000.0,6110000.0,96.0,False,Purchase_Bill_PRJ000041.pdf
DOC0000082,PRJ000041,UTILIZATION_CERTIFICATE,Varanasi Public Works Department (PWD),HEALTHCARE,4490850.0,6110000.0,91.8,False,Utilization_Certificate_PRJ000041.pdf
DOC0000083,PRJ000042,PURCHASE_BILL,SwachhBharat Sanitation Infra Ltd,PUBLIC_TOILET,1170000.0,1170000.0,95.4,False,Purchase_Bill_PRJ000042.pdf
DOC0000084,PRJ000042,UTILIZATION_CERTIFICATE,Varanasi State Water Supply & Sanitation Board (WSSB),PUBLIC_TOILET,744120.0,1170000.0,95.9,False,Utilization_Certificate_PRJ000042.pdf
DOC0000085,PRJ000043,PURCHASE_BILL,Paramount Multi-Sector Construction Ltd,ROAD_CONSTRUCTION,7580000.0,7580000.0,97.7,False,Purchase_Bill_PRJ000043.pdf
DOC0000086,PRJ000043,UTILIZATION_CERTIFICATE,Kolkata District Rural Development Agency (DRDA),ROAD_CONSTRUCTION,3774840.0,7580000.0,93.4,False,Utilization_Certificate_PRJ000043.pdf
DOC0000087,PRJ000044,PURCHASE_BILL,BridgeTech Structures Pvt Ltd,BRIDGE,1230000.0,1230000.0,88.7,False,Purchase_Bill_PRJ000044.pdf
DOC0000088,PRJ000044,UTILIZATION_CERTIFICATE,Kolkata District Rural Development Agency (DRDA),BRIDGE,1881900.0,1230000.0,90.0,False,Utilization_Certificate_PRJ000044.pdf
DOC0000089,PRJ000045,PURCHASE_BILL,SwachhBharat Sanitation Infra Ltd,PUBLIC_TOILET,650000.0,650000.0,89.0,False,Purchase_Bill_PRJ000045.pdf
DOC0000090,PRJ000045,UTILIZATION_CERTIFICATE,Kolkata Municipal Corporation Infrastructure Cell,PUBLIC_TOILET,291200.0,650000.0,98.3,False,Utilization_Certificate_PRJ000045.pdf
DOC0000091,PRJ000046,PURCHASE_BILL,UrbanDrain Civil Engineering Co,DRAINAGE,6270000.0,6270000.0,89.0,False,Purchase_Bill_PRJ000046.pdf
DOC0000092,PRJ000046,UTILIZATION_CERTIFICATE,Siliguri State Water Supply & Sanitation Board (WSSB),DRAINAGE,257714.26,6270000.0,95.5,False,Utilization_Certificate_PRJ000046.pdf
DOC0000093,PRJ000047,PURCHASE_BILL,Apex Infracon & Highway Contractors,ROAD_CONSTRUCTION,2190000.0,2190000.0,94.4,False,Purchase_Bill_PRJ000047.pdf
DOC0000094,PRJ000047,UTILIZATION_CERTIFICATE,Manali State Water Supply & Sanitation Board (WSSB),ROAD_CONSTRUCTION,985500.0,2190000.0,93.9,False,Utilization_Certificate_PRJ000047.pdf
DOC0000095,PRJ000048,PURCHASE_BILL,Paramount Multi-Sector Construction Ltd,BUS_SHELTER,4540000.0,4540000.0,88.4,False,Purchase_Bill_PRJ000048.pdf
DOC0000096,PRJ000048,UTILIZATION_CERTIFICATE,Mandi District Rural Development Agency (DRDA),BUS_SHELTER,1266660.0,4540000.0,96.2,False,Utilization_Certificate_PRJ000048.pdf
DOC0000097,PRJ000049,PURCHASE_BILL,Apex Infracon & Highway Contractors,ROAD_CONSTRUCTION,4811362.38,3840000.0,58.9,True,Purchase_Bill_PRJ000049.pdf
DOC0000098,PRJ000049,UTILIZATION_CERTIFICATE,Mandi District Rural Development Agency (DRDA),ROAD_CONSTRUCTION,1532160.0,3840000.0,95.6,False,Utilization_Certificate_PRJ000049.pdf
DOC0000099,PRJ000050,PURCHASE_BILL,Paramount Multi-Sector Construction Ltd,ROAD_CONSTRUCTION,7110000.0,7110000.0,91.5,False,Purchase_Bill_PRJ000050.pdf
DOC0000100,PRJ000050,UTILIZATION_CERTIFICATE,Amritsar District Rural Development Agency (DRDA),ROAD_CONSTRUCTION,3128400.0,7110000.0,93.9,False,Utilization_Certificate_PRJ000050.pdf
DOC0000101,PRJ000051,PURCHASE_BILL,Apex Infracon & Highway Contractors,ROAD_CONSTRUCTION,3410000.0,3410000.0,96.7,False,Purchase_Bill_PRJ000051.pdf
DOC0000102,PRJ000051,UTILIZATION_CERTIFICATE,Amritsar District Rural Development Agency (DRDA),ROAD_CONSTRUCTION,5217300.0,3410000.0,90.3,False,Utilization_Certificate_PRJ000051.pdf
DOC0000103,PRJ000052,PURCHASE_BILL,Apex Infracon & Highway Contractors,ROAD_CONSTRUCTION,3450000.0,3450000.0,90.2,False,Purchase_Bill_PRJ000052.pdf
DOC0000104,PRJ000052,UTILIZATION_CERTIFICATE,Amritsar District Rural Development Agency (DRDA),ROAD_CONSTRUCTION,4692000.0,3450000.0,91.2,False,Utilization_Certificate_PRJ000052.pdf
DOC0000105,PRJ000053,PURCHASE_BILL,SmartTransit Urban Infra Solutions,BUS_SHELTER,7110000.0,7110000.0,91.4,False,Purchase_Bill_PRJ000053.pdf
DOC0000106,PRJ000053,UTILIZATION_CERTIFICATE,Amritsar District Rural Development Agency (DRDA),BUS_SHELTER,8816400.0,7110000.0,91.5,False,Utilization_Certificate_PRJ000053.pdf
DOC0000107,PRJ000054,PURCHASE_BILL,Speedway Repair & Resurfacing Contractors,ROAD_REPAIR,6700000.0,6700000.0,91.5,False,Purchase_Bill_PRJ000054.pdf
DOC0000108,PRJ000054,UTILIZATION_CERTIFICATE,Amritsar District Rural Development Agency (DRDA),ROAD_REPAIR,6051329.54,6700000.0,91.5,False,Utilization_Certificate_PRJ000054.pdf
DOC0000109,PRJ000055,PURCHASE_BILL,TechLine IT & Lab Equipment Solutions Pvt Ltd,SCHOOL_INFRASTRUCTURE,1180000.0,1180000.0,91.5,False,Purchase_Bill_PRJ000055.pdf
DOC0000110,PRJ000055,UTILIZATION_CERTIFICATE,Kolkata District Rural Development Agency (DRDA),SCHOOL_INFRASTRUCTURE,885000.0,1180000.0,91.0,False,Utilization_Certificate_PRJ000055.pdf
DOC0000111,PRJ000056,PURCHASE_BILL,AquaPure Water Systems & Drilling Corp,WATER_SUPPLY,2420000.0,2420000.0,89.4,False,Purchase_Bill_PRJ000056.pdf
DOC0000112,PRJ000056,UTILIZATION_CERTIFICATE,Darjeeling Public Works Department (PWD),WATER_SUPPLY,1151920.0,2420000.0,96.1,False,Utilization_Certificate_PRJ000056.pdf
DOC0000113,PRJ000057,PURCHASE_BILL,CleanWater Sanitation & Drainage Works Pvt Ltd,SANITATION,3240000.0,3240000.0,92.3,False,Purchase_Bill_PRJ000057.pdf
DOC0000114,PRJ000057,UTILIZATION_CERTIFICATE,Kolkata District Rural Development Agency (DRDA),SANITATION,2430000.0,3240000.0,96.1,False,Utilization_Certificate_PRJ000057.pdf
DOC0000115,PRJ000058,PURCHASE_BILL,SmartTransit Urban Infra Solutions,BUS_SHELTER,4460000.0,4460000.0,95.4,False,Purchase_Bill_PRJ000058.pdf
DOC0000116,PRJ000058,UTILIZATION_CERTIFICATE,Kolkata District Rural Development Agency (DRDA),BUS_SHELTER,2007000.0,4460000.0,98.7,False,Utilization_Certificate_PRJ000058.pdf
DOC0000117,PRJ000059,PURCHASE_BILL,Apex Infracon & Highway Contractors,ROAD_CONSTRUCTION,1720000.0,1720000.0,90.0,False,Purchase_Bill_PRJ000059.pdf
DOC0000118,PRJ000059,UTILIZATION_CERTIFICATE,Kolkata District Rural Development Agency (DRDA),ROAD_CONSTRUCTION,1440250.66,1720000.0,95.9,False,Utilization_Certificate_PRJ000059.pdf
DOC0000119,PRJ000060,PURCHASE_BILL,BridgeTech Structures Pvt Ltd,BRIDGE,5350000.0,5350000.0,97.9,False,Purchase_Bill_PRJ000060.pdf
DOC0000120,PRJ000060,UTILIZATION_CERTIFICATE,Patna State Water Supply & Sanitation Board (WSSB),BRIDGE,2407500.0,5350000.0,97.6,False,Utilization_Certificate_PRJ000060.pdf
DOC0000121,PRJ000061,PURCHASE_BILL,UrbanDrain Civil Engineering Co,DRAINAGE,3190000.0,3190000.0,92.7,False,Purchase_Bill_PRJ000061.pdf
DOC0000122,PRJ000061,UTILIZATION_CERTIFICATE,Muzaffarpur District Rural Development Agency (DRDA),DRAINAGE,2855309.65,3190000.0,96.0,False,Utilization_Certificate_PRJ000061.pdf
DOC0000123,PRJ000062,PURCHASE_BILL,BridgeTech Structures Pvt Ltd,BRIDGE,1370000.0,1370000.0,88.8,False,Purchase_Bill_PRJ000062.pdf
DOC0000124,PRJ000062,UTILIZATION_CERTIFICATE,Bhagalpur Public Works Department (PWD),BRIDGE,34252.21,1370000.0,91.8,False,Utilization_Certificate_PRJ000062.pdf
DOC0000125,PRJ000063,PURCHASE_BILL,BridgeTech Structures Pvt Ltd,BRIDGE,1270000.0,1270000.0,89.2,False,Purchase_Bill_PRJ000063.pdf
DOC0000126,PRJ000063,UTILIZATION_CERTIFICATE,Muzaffarpur District Rural Development Agency (DRDA),BRIDGE,1778000.0,1270000.0,100.0,False,Utilization_Certificate_PRJ000063.pdf
DOC0000127,PRJ000064,PURCHASE_BILL,Paramount Multi-Sector Construction Ltd,SPORTS_FACILITY,5910000.0,5910000.0,96.6,False,Purchase_Bill_PRJ000064.pdf
DOC0000128,PRJ000064,UTILIZATION_CERTIFICATE,Guntur District Rural Development Agency (DRDA),SPORTS_FACILITY,1962120.0,5910000.0,94.1,False,Utilization_Certificate_PRJ000064.pdf
DOC0000129,PRJ000065,PURCHASE_BILL,SunPower Renewable Energy Systems,SOLAR_ENERGY,2431594.81,1930000.0,55.7,True,Purchase_Bill_PRJ000065.pdf
DOC0000130,PRJ000065,UTILIZATION_CERTIFICATE,Visakhapatnam State Water Supply & Sanitation Board (WSSB),SOLAR_ENERGY,627250.0,1930000.0,90.5,False,Utilization_Certificate_PRJ000065.pdf
DOC0000131,PRJ000066,PURCHASE_BILL,SmartTransit Urban Infra Solutions,BUS_SHELTER,6380000.0,6380000.0,92.6,False,Purchase_Bill_PRJ000066.pdf
DOC0000132,PRJ000066,UTILIZATION_CERTIFICATE,Ujjain District Rural Development Agency (DRDA),BUS_SHELTER,4580840.0,6380000.0,96.2,False,Utilization_Certificate_PRJ000066.pdf
DOC0000133,PRJ000067,PURCHASE_BILL,Apex Infracon & Highway Contractors,ROAD_CONSTRUCTION,730000.0,730000.0,91.7,False,Purchase_Bill_PRJ000067.pdf
DOC0000134,PRJ000067,UTILIZATION_CERTIFICATE,Sagar Municipal Corporation Infrastructure Cell,ROAD_CONSTRUCTION,547500.0,730000.0,96.7,False,Utilization_Certificate_PRJ000067.pdf
DOC0000135,PRJ000068,PURCHASE_BILL,CleanWater Sanitation & Drainage Works Pvt Ltd,SANITATION,1200000.0,1200000.0,91.5,False,Purchase_Bill_PRJ000068.pdf
DOC0000136,PRJ000068,UTILIZATION_CERTIFICATE,Sagar Municipal Corporation Infrastructure Cell,SANITATION,883200.0,1200000.0,97.8,False,Utilization_Certificate_PRJ000068.pdf
DOC0000137,PRJ000069,PURCHASE_BILL,MedTech Healthcare Infrastructure Ltd,HEALTHCARE,5620000.0,5620000.0,92.7,False,Purchase_Bill_PRJ000069.pdf
DOC0000138,PRJ000069,UTILIZATION_CERTIFICATE,Sagar Municipal Corporation Infrastructure Cell,HEALTHCARE,2450320.0,5620000.0,99.1,False,Utilization_Certificate_PRJ000069.pdf
DOC0000139,PRJ000070,PURCHASE_BILL,SmartTransit Urban Infra Solutions,BUS_SHELTER,7920000.0,7920000.0,89.5,False,Purchase_Bill_PRJ000070.pdf
DOC0000140,PRJ000070,UTILIZATION_CERTIFICATE,Gwalior Public Works Department (PWD),BUS_SHELTER,363842.41,7920000.0,94.5,False,Utilization_Certificate_PRJ000070.pdf
DOC0000141,PRJ000071,PURCHASE_BILL,Apex Infracon & Highway Contractors,ROAD_CONSTRUCTION,1040000.0,1040000.0,96.3,False,Purchase_Bill_PRJ000071.pdf
DOC0000142,PRJ000071,UTILIZATION_CERTIFICATE,Durg State Water Supply & Sanitation Board (WSSB),ROAD_CONSTRUCTION,1040000.0,1040000.0,99.3,False,Utilization_Certificate_PRJ000071.pdf
DOC0000143,PRJ000072,PURCHASE_BILL,Paramount Multi-Sector Construction Ltd,SANITATION,5410000.0,5410000.0,91.2,False,Purchase_Bill_PRJ000072.pdf
