entity_id,entity_name,entity_type,state_ut,district,entity_status
SYN_AGENCY_047,Chennai Panchayati Raj Engineering Division,IMPLEMENTING_AGENCY,Tamil Nadu,Chennai,UNDER_REVIEW
SYN_AGENCY_048,Ayodhya District Development Authority,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_049,Ayodhya Urban Development Agency,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,UNDER_REVIEW
SYN_AGENCY_050,Ayodhya Panchayati Raj Engineering Division,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_051,Ayodhya District Development Authority,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_052,North 24 Parganas District Development Authority,IMPLEMENTING_AGENCY,West Bengal,North 24 Parganas,ACTIVE
SYN_AGENCY_053,Solapur Rural Development Agency,IMPLEMENTING_AGENCY,Maharashtra,Solapur,ACTIVE
SYN_AGENCY_054,Cuddalore Rural Development Agency,IMPLEMENTING_AGENCY,Tamil Nadu,Cuddalore,ACTIVE
SYN_AGENCY_055,Ayodhya Urban Development Agency,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,UNDER_REVIEW
SYN_AGENCY_056,Ayodhya Urban Development Agency,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,UNDER_REVIEW
SYN_AGENCY_057,Gwalior Panchayati Raj Engineering Division,IMPLEMENTING_AGENCY,Madhya Pradesh,Gwalior,UNDER_REVIEW
SYN_AGENCY_058,Ganjam Urban Development Agency,IMPLEMENTING_AGENCY,Odisha,Ganjam,ACTIVE
SYN_AGENCY_059,Gaya District Development Authority,IMPLEMENTING_AGENCY,Bihar,Gaya,ACTIVE
SYN_AGENCY_060,Ayodhya Rural Development Agency,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_061,Ayodhya Panchayati Raj Engineering Division,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_062,Gwalior Urban Development Agency,IMPLEMENTING_AGENCY,Madhya Pradesh,Gwalior,ACTIVE
SYN_AGENCY_063,Gaya District Development Authority,IMPLEMENTING_AGENCY,Bihar,Gaya,UNDER_REVIEW
SYN_AGENCY_064,Solapur Panchayati Raj Engineering Division,IMPLEMENTING_AGENCY,Maharashtra,Solapur,ACTIVE
SYN_AGENCY_065,Ayodhya Rural Development Agency,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_066,Cuddalore District Development Authority,IMPLEMENTING_AGENCY,Tamil Nadu,Cuddalore,ACTIVE
SYN_AGENCY_067,Nashik Urban Development Agency,IMPLEMENTING_AGENCY,Maharashtra,Nashik,ACTIVE
SYN_AGENCY_068,Gaya District Development Authority,IMPLEMENTING_AGENCY,Bihar,Gaya,UNDER_REVIEW
SYN_AGENCY_069,Ayodhya Panchayati Raj Engineering Division,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_070,Dibrugarh Panchayati Raj Engineering Division,IMPLEMENTING_AGENCY,Assam,Dibrugarh,ACTIVE
SYN_AGENCY_071,Ayodhya Urban Development Agency,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_072,Solapur District Development Authority,IMPLEMENTING_AGENCY,Maharashtra,Solapur,ACTIVE
SYN_AGENCY_073,Ayodhya Panchayati Raj Engineering Division,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_074,Ayodhya Rural Development Agency,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_075,Ayodhya District Development Authority,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,UNDER_REVIEW
SYN_AGENCY_076,Ayodhya Urban Development Agency,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,UNDER_REVIEW
SYN_AGENCY_077,Ayodhya Rural Development Agency,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_078,Ayodhya District Development Authority,IMPLEMENTING_AGENCY,Uttar Pradesh,Ayodhya,ACTIVE
SYN_AGENCY_079,Cuddalore Urban Development Agency,IMPLEMENTING_AGENCY,Tamil Nadu,Cuddalore,ACTIVE
SYN_AGENCY_080,Kalaburagi Rural Development Agency,IMPLEMENTING_AGENCY,Karnataka,Kalaburagi,ACTIVE
SYN_CONTRACTOR_001,"M/s Amrit Constructions, Solapur",CONTRACTOR,Maharashtra,Solapur,ACTIVE
SYN_CONTRACTOR_002,"M/s Samarth Infra Projects, Solapur",CONTRACTOR,Maharashtra,Solapur,ACTIVE
SYN_CONTRACTOR_003,"M/s Prakash Infrastructure Pvt Ltd, Solapur",CONTRACTOR,Maharashtra,Solapur,ACTIVE
SYN_CONTRACTOR_004,"M/s Lakshmi Infra Projects, Cuddalore",CONTRACTOR,Tamil Nadu,Cuddalore,UNDER_REVIEW
SYN_CONTRACTOR_005,"M/s Narayan Builders, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,ACTIVE
SYN_CONTRACTOR_006,"M/s Guru Kripa Builders, Cuddalore",CONTRACTOR,Tamil Nadu,Cuddalore,ACTIVE
SYN_CONTRACTOR_007,"M/s Jyoti Infrastructure Pvt Ltd, Gaya",CONTRACTOR,Bihar,Gaya,ACTIVE
SYN_CONTRACTOR_008,"M/s Sai Krishna Builders, Bastar",CONTRACTOR,Chhattisgarh,Bastar,ACTIVE
SYN_CONTRACTOR_009,"M/s Maruti Infra Projects, Gaya",CONTRACTOR,Bihar,Gaya,ACTIVE
SYN_CONTRACTOR_010,"M/s Sundaram Constructions, Bastar",CONTRACTOR,Chhattisgarh,Bastar,ACTIVE
SYN_CONTRACTOR_011,"M/s Rajeshwari Engineering Works, Bastar",CONTRACTOR,Chhattisgarh,Bastar,ACTIVE
SYN_CONTRACTOR_012,"M/s Annapurna Infra Projects, Bastar",CONTRACTOR,Chhattisgarh,Bastar,UNDER_REVIEW
SYN_CONTRACTOR_013,"M/s Jai Bharat Builders, Deoghar",CONTRACTOR,Jharkhand,Deoghar,ACTIVE
SYN_CONTRACTOR_014,"M/s Jyoti Builders, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,ACTIVE
SYN_CONTRACTOR_015,"M/s Lakshmi Infrastructure Pvt Ltd, Gwalior",CONTRACTOR,Madhya Pradesh,Gwalior,ACTIVE
SYN_CONTRACTOR_016,"M/s Deepak Civil Works, Pauri Garhwal",CONTRACTOR,Uttarakhand,Pauri Garhwal,ACTIVE
SYN_CONTRACTOR_017,"M/s Hariom Constructions, North 24 Parganas",CONTRACTOR,West Bengal,North 24 Parganas,ACTIVE
SYN_CONTRACTOR_018,"M/s Annapurna Infra Projects, Durg",CONTRACTOR,Chhattisgarh,Durg,ACTIVE
SYN_CONTRACTOR_019,"M/s Sai Krishna Infrastructure Pvt Ltd, East Godavari",CONTRACTOR,Andhra Pradesh,East Godavari,ACTIVE
SYN_CONTRACTOR_020,"M/s Bhagyalakshmi Builders, Tawang",CONTRACTOR,Arunachal Pradesh,Tawang,ACTIVE
SYN_CONTRACTOR_021,"M/s Jai Bharat Infrastructure Pvt Ltd, Alwar",CONTRACTOR,Rajasthan,Alwar,ACTIVE
SYN_CONTRACTOR_022,"M/s Sundaram Infra Projects, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,ACTIVE
SYN_CONTRACTOR_023,"M/s Rajeshwari Civil Works, Gaya",CONTRACTOR,Bihar,Gaya,ACTIVE
SYN_CONTRACTOR_024,"M/s Guru Kripa Constructions, Gaya",CONTRACTOR,Bihar,Gaya,ACTIVE
SYN_CONTRACTOR_025,"M/s Indus Engineering Works, Gaya",CONTRACTOR,Bihar,Gaya,ACTIVE
SYN_CONTRACTOR_026,"M/s Kalyan Infrastructure Pvt Ltd, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,ACTIVE
SYN_CONTRACTOR_027,"M/s Mahaveer Infra Projects, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,SUSPENDED
SYN_CONTRACTOR_028,"M/s Prakash Builders, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,ACTIVE
SYN_CONTRACTOR_029,"M/s Samarth Infrastructure Pvt Ltd, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,ACTIVE
SYN_CONTRACTOR_030,"M/s Prakash Constructions, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,ACTIVE
SYN_CONTRACTOR_031,"M/s Mahaveer Civil Works, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,ACTIVE
SYN_CONTRACTOR_032,"M/s Kalyan Infra Projects, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,ACTIVE
SYN_CONTRACTOR_033,"M/s Indus Infrastructure Pvt Ltd, Aurangabad",CONTRACTOR,Maharashtra,Aurangabad,UNDER_REVIEW
SYN_CONTRACTOR_034,"M/s Bhoomi Builders, East Sikkim",CONTRACTOR,Sikkim,East Sikkim,SUSPENDED
SYN_CONTRACTOR_035,"M/s Chetak Infra Projects, Bastar",CONTRACTOR,Chhattisgarh,Bastar,ACTIVE
SYN_CONTRACTOR_036,"M/s Yashoda Infrastructure Pvt Ltd, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,UNDER_REVIEW
SYN_CONTRACTOR_037,"M/s Samarth Engineering Works, Kalaburagi",CONTRACTOR,Karnataka,Kalaburagi,ACTIVE
SYN_CONTRACTOR_038,"M/s Annapurna Constructions, Kalaburagi",CONTRACTOR,Karnataka,Kalaburagi,SUSPENDED
SYN_CONTRACTOR_039,"M/s Sai Krishna Civil Works, Kalaburagi",CONTRACTOR,Karnataka,Kalaburagi,ACTIVE
SYN_CONTRACTOR_040,"M/s Satyam Civil Works, Ganjam",CONTRACTOR,Odisha,Ganjam,ACTIVE
SYN_CONTRACTOR_041,"M/s Girija Infra Projects, Ganjam",CONTRACTOR,Odisha,Ganjam,ACTIVE
SYN_CONTRACTOR_042,"M/s Ganesh Engineering Works, Amritsar",CONTRACTOR,Punjab,Amritsar,ACTIVE
SYN_CONTRACTOR_043,"M/s Shanti Constructions, Karnal",CONTRACTOR,Haryana,Karnal,ACTIVE
SYN_CONTRACTOR_044,"M/s Om Sai Civil Works, Ahmedabad",CONTRACTOR,Gujarat,Ahmedabad,INACTIVE
SYN_CONTRACTOR_045,"M/s Vishwakarma Infrastructure Pvt Ltd, Hisar",CONTRACTOR,Haryana,Hisar,ACTIVE
SYN_CONTRACTOR_046,"M/s Sundaram Infrastructure Pvt Ltd, Durg",CONTRACTOR,Chhattisgarh,Durg,ACTIVE
SYN_CONTRACTOR_047,"M/s Jai Bharat Builders, Bhagalpur",CONTRACTOR,Bihar,Bhagalpur,ACTIVE
SYN_CONTRACTOR_048,"M/s Hariom Civil Works, Bhagalpur",CONTRACTOR,Bihar,Bhagalpur,ACTIVE
SYN_CONTRACTOR_049,"M/s Kalyan Constructions, Bhagalpur",CONTRACTOR,Bihar,Bhagalpur,ACTIVE
SYN_CONTRACTOR_050,"M/s Guru Kripa Infra Projects, Bhagalpur",CONTRACTOR,Bihar,Bhagalpur,ACTIVE
SYN_CONTRACTOR_051,"M/s Jyoti Builders, Howrah",CONTRACTOR,West Bengal,Howrah,UNDER_REVIEW
SYN_CONTRACTOR_052,"M/s Mahaveer Infrastructure Pvt Ltd, Gwalior",CONTRACTOR,Madhya Pradesh,Gwalior,ACTIVE
SYN_CONTRACTOR_053,"M/s Amrit Civil Works, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,ACTIVE
SYN_CONTRACTOR_054,"M/s Samarth Builders, Lucknow",CONTRACTOR,Uttar Pradesh,Lucknow,ACTIVE
SYN_CONTRACTOR_055,"M/s Prakash Infra Projects, Gwalior",CONTRACTOR,Madhya Pradesh,Gwalior,SUSPENDED
SYN_CONTRACTOR_056,"M/s Konark Engineering Works, Gwalior",CONTRACTOR,Madhya Pradesh,Gwalior,ACTIVE
SYN_CONTRACTOR_057,"M/s Uday Constructions, Gwalior",CONTRACTOR,Madhya Pradesh,Gwalior,ACTIVE
SYN_CONTRACTOR_058,"M/s Satyam Infra Projects, Kanpur Nagar",CONTRACTOR,Uttar Pradesh,Kanpur Nagar,SUSPENDED
SYN_CONTRACTOR_059,"M/s Shanti Builders, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,ACTIVE
SYN_CONTRACTOR_060,"M/s Sri Balaji Builders, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,ACTIVE
SYN_CONTRACTOR_061,"M/s Maruti Constructions, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,ACTIVE
SYN_CONTRACTOR_062,"M/s Sai Krishna Engineering Works, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,UNDER_REVIEW
SYN_CONTRACTOR_063,"M/s Annapurna Civil Works, Kalaburagi",CONTRACTOR,Karnataka,Kalaburagi,ACTIVE
SYN_CONTRACTOR_064,"M/s Samarth Constructions, Kalaburagi",CONTRACTOR,Karnataka,Kalaburagi,ACTIVE
SYN_CONTRACTOR_065,"M/s Uday Engineering Works, Ahmedabad",CONTRACTOR,Gujarat,Ahmedabad,ACTIVE
SYN_CONTRACTOR_066,"M/s Chetak Infrastructure Pvt Ltd, Hyderabad",CONTRACTOR,Telangana,Hyderabad,ACTIVE
SYN_CONTRACTOR_067,"M/s Bhoomi Infra Projects, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,ACTIVE
SYN_CONTRACTOR_068,"M/s Guru Kripa Civil Works, Gwalior",CONTRACTOR,Madhya Pradesh,Gwalior,ACTIVE
SYN_CONTRACTOR_069,"M/s Amrit Engineering Works, Hyderabad",CONTRACTOR,Telangana,Hyderabad,ACTIVE
SYN_CONTRACTOR_070,"M/s Hariom Constructions, Gaya",CONTRACTOR,Bihar,Gaya,ACTIVE
SYN_CONTRACTOR_071,"M/s Deepak Civil Works, Gaya",CONTRACTOR,Bihar,Gaya,ACTIVE
SYN_CONTRACTOR_072,"M/s Rajeshwari Engineering Works, Kolkata",CONTRACTOR,West Bengal,Kolkata,ACTIVE
SYN_CONTRACTOR_073,"M/s Sundaram Constructions, Kalaburagi",CONTRACTOR,Karnataka,Kalaburagi,ACTIVE
SYN_CONTRACTOR_074,"M/s Jai Bharat Builders, Dimapur",CONTRACTOR,Nagaland,Dimapur,ACTIVE
SYN_CONTRACTOR_075,"M/s Annapurna Infra Projects, Hingoli",CONTRACTOR,Maharashtra,Hingoli,ACTIVE
SYN_CONTRACTOR_076,"M/s Sai Krishna Infrastructure Pvt Ltd, Hingoli",CONTRACTOR,Maharashtra,Hingoli,ACTIVE
SYN_CONTRACTOR_077,"M/s Maruti Engineering Works, Lucknow",CONTRACTOR,Uttar Pradesh,Lucknow,ACTIVE
SYN_CONTRACTOR_078,"M/s Sri Balaji Constructions, Bharatpur",CONTRACTOR,Rajasthan,Bharatpur,ACTIVE
SYN_CONTRACTOR_079,"M/s Bhoomi Civil Works, Anantapur",CONTRACTOR,Andhra Pradesh,Anantapur,ACTIVE
SYN_CONTRACTOR_080,"M/s Jai Bharat Engineering Works, Jhansi",CONTRACTOR,Uttar Pradesh,Jhansi,ACTIVE
SYN_CONTRACTOR_081,"M/s Bhagyalakshmi Constructions, Jhansi",CONTRACTOR,Uttar Pradesh,Jhansi,ACTIVE
SYN_CONTRACTOR_082,"M/s Rajeshwari Infra Projects, Jhansi",CONTRACTOR,Uttar Pradesh,Jhansi,ACTIVE
SYN_CONTRACTOR_083,"M/s Sundaram Infrastructure Pvt Ltd, Krishna",CONTRACTOR,Andhra Pradesh,Krishna,ACTIVE
SYN_CONTRACTOR_084,"M/s Sri Balaji Infrastructure Pvt Ltd, Jhansi",CONTRACTOR,Uttar Pradesh,Jhansi,UNDER_REVIEW
SYN_CONTRACTOR_085,"M/s Bhoomi Builders, Jhansi",CONTRACTOR,Uttar Pradesh,Jhansi,ACTIVE
SYN_CONTRACTOR_086,"M/s Vishwakarma Civil Works, Nagpur",CONTRACTOR,Maharashtra,Nagpur,ACTIVE
SYN_CONTRACTOR_087,"M/s Ganesh Engineering Works, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,UNDER_REVIEW
SYN_CONTRACTOR_088,"M/s Trimurti Engineering Works, Jhansi",CONTRACTOR,Uttar Pradesh,Jhansi,SUSPENDED
SYN_CONTRACTOR_089,"M/s Raghav Constructions, North 24 Parganas",CONTRACTOR,West Bengal,North 24 Parganas,UNDER_REVIEW
SYN_CONTRACTOR_090,"M/s Trimurti Infrastructure Pvt Ltd, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,ACTIVE
SYN_CONTRACTOR_091,"M/s Yashoda Engineering Works, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,ACTIVE
SYN_CONTRACTOR_092,"M/s Mahaveer Infra Projects, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,SUSPENDED
SYN_CONTRACTOR_093,"M/s Raghav Builders, Pali",CONTRACTOR,Rajasthan,Pali,SUSPENDED
SYN_CONTRACTOR_094,"M/s Sri Balaji Builders, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,ACTIVE
SYN_CONTRACTOR_095,"M/s Maruti Infrastructure Pvt Ltd, Pali",CONTRACTOR,Rajasthan,Pali,ACTIVE
SYN_CONTRACTOR_096,"M/s Chetak Civil Works, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,ACTIVE
SYN_CONTRACTOR_097,"M/s Bhoomi Constructions, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,ACTIVE
SYN_CONTRACTOR_098,"M/s Navdurga Infrastructure Pvt Ltd, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,ACTIVE
SYN_CONTRACTOR_099,"M/s Venkateshwara Infra Projects, Solapur",CONTRACTOR,Maharashtra,Solapur,ACTIVE
SYN_CONTRACTOR_100,"M/s Prakash Infra Projects, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,ACTIVE
SYN_CONTRACTOR_101,"M/s Samarth Builders, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,ACTIVE
SYN_CONTRACTOR_102,"M/s Yashoda Constructions, Amritsar",CONTRACTOR,Punjab,Amritsar,ACTIVE
SYN_CONTRACTOR_103,"M/s Chetak Engineering Works, Haridwar",CONTRACTOR,Uttarakhand,Haridwar,ACTIVE
SYN_CONTRACTOR_104,"M/s Guru Kripa Civil Works, Baramulla",CONTRACTOR,Jammu And Kashmir,Baramulla,ACTIVE
SYN_CONTRACTOR_105,"M/s Indus Constructions, Baramulla",CONTRACTOR,Jammu And Kashmir,Baramulla,ACTIVE
SYN_CONTRACTOR_106,"M/s Kalyan Engineering Works, Diu",CONTRACTOR,The Dadra And Nagar Haveli And Daman And Diu,Diu,ACTIVE
SYN_CONTRACTOR_107,"M/s Mahaveer Infrastructure Pvt Ltd, Baramulla",CONTRACTOR,Jammu And Kashmir,Baramulla,ACTIVE
SYN_CONTRACTOR_108,"M/s Bhagyalakshmi Infra Projects, Chennai",CONTRACTOR,Tamil Nadu,Chennai,ACTIVE
SYN_CONTRACTOR_109,"M/s Jai Bharat Builders, Baramulla",CONTRACTOR,Jammu And Kashmir,Baramulla,ACTIVE
SYN_CONTRACTOR_110,"M/s Satyam Builders, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,ACTIVE
SYN_CONTRACTOR_111,"M/s Shanti Infrastructure Pvt Ltd, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,ACTIVE
SYN_CONTRACTOR_112,"M/s Ganesh Infra Projects, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,ACTIVE
SYN_CONTRACTOR_113,"M/s Vishwakarma Builders, North 24 Parganas",CONTRACTOR,West Bengal,North 24 Parganas,ACTIVE
SYN_CONTRACTOR_114,"M/s Bhagyalakshmi Constructions, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,ACTIVE
SYN_CONTRACTOR_115,"M/s Jai Bharat Engineering Works, Ayodhya",CONTRACTOR,Uttar Pradesh,Ayodhya,ACTIVE
SYN_CONTRACTOR_116,"M/s Venkateshwara Civil Works, Bardhaman",CONTRACTOR,West Bengal,Bardhaman,ACTIVE
SYN_CONTRACTOR_117,"M/s Amrit Infra Projects, Cuddalore",CONTRACTOR,Tamil Nadu,Cuddalore,ACTIVE
SYN_CONTRACTOR_118,"M/s Guru Kripa Builders, Cuddalore",CONTRACTOR,Tamil Nadu,Cuddalore,ACTIVE
SYN_CONTRACTOR_119,"M/s Indus Infrastructure Pvt Ltd, Cuddalore",CONTRACTOR,Tamil Nadu,Cuddalore,ACTIVE
SYN_CONTRACTOR_120,"M/s Deepak Infra Projects, Cuddalore",CONTRACTOR,Tamil Nadu,Cuddalore,ACTIVE
SYN_CONTRACTOR_121,"M/s Rajeshwari Infrastructure Pvt Ltd, Cuddalore",CONTRACTOR,Tamil Nadu,Cuddalore,ACTIVE
SYN_CONTRACTOR_122,"M/s Jyoti Constructions, Cuddalore",CONTRACTOR,Tamil Nadu,Cuddalore,ACTIVE
SYN_CONTRACTOR_123,"M/s Hariom Builders, South 24 Parganas",CONTRACTOR,West Bengal,South 24 Parganas,ACTIVE
