,,Allocated Limit for Hon'ble MPs,,
34,Kerala,Dr. V. Sivadasan (2021-27) (2021-2027),Elected MP,276720323.3
35,Punjab,Dr. Vikramjit Singh Sahney (2022-28) (2022-2028),Elected MP,198656208.6
36,West Bengal,Ms. Dola Sen (2023-29) (2023-2029),Elected MP,171500000
37,Delhi,Ms. Swati Maliwal (2024-30) (2024-2030),Elected MP,147000000
38,Bihar,Prof. Manoj Kumar Jha (2024-30) (2024-2030),Elected MP,191620112.1
39,Uttar Pradesh,Prof. Ram Gopal Yadav (2020-26) (2020-2026),Elected MP,221271395.1
40,Kerala,Shri A. A. Rahim (2022-28) (2022-2028),Elected MP,220563957.1
41,Kerala,Shri Abdul Wahab (2021-27) (2021-2027),Elected MP,310898953.3
42,Jharkhand,Shri Aditya Prasad (2022-28) (2022-2028),Elected MP,227628508.2
43,Karnataka,Shri Ajay Makan (2024-30) (2024-2030),Elected MP,147000000
44,Bihar,Shri Akhilesh Prasad Singh (2024-30) (2024-2030),Elected MP,186200000
45,Uttar Pradesh,Shri Amar Pal Maurya (2024-30) (2024-2030),Elected MP,147000000
46,Telangana,Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030),Elected MP,147000000
47,Himachal Pradesh,Shri Anurag Sharma (2026-32) (2026-2032),Elected MP,49000000
48,Uttar Pradesh,Shri Arun Singh (2020-26) (2020-2026),Elected MP,223492764.1
49,Madhya Pradesh,Shri Ashok Singh (2024-30) (2024-2030),Elected MP,147000000
50,Maharashtra,Shri Ashokrao Shankarrao Chavan (2024-30) (2024-2030),Elected MP,147000000
51,Odisha,Shri Ashwini Vaishnaw (2024-30) (2024-2030),Elected MP,265563957.1
52,Telangana,Shri B. Parthasaradhi Reddy (2022-28) (2022-2028),Elected MP,244365104
53,Uttar Pradesh,Shri B.L. Verma (2020-26) (2020-2026),Elected MP,196063957.1
54,Gujarat,Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029),Elected MP,171500000
55,Uttar Pradesh,Shri Baburam Nishad (2022-28) (2022-2028),Elected MP,196063957.1
56,Madhya Pradesh,Shri Balyogi Umeshnath (2024-30) (2024-2030),Elected MP,147000000
57,Madhya Pradesh,Shri Banshilal Gurjar (2024-30) (2024-2030),Elected MP,147000000
58,Andhra Pradesh,Shri Bhashyam Rama Krishna (2026-32) (2026-2032),Elected MP,49000000
59,Assam,Shri Birendra Prasad Baishya (2025-31) (2025-2031),Elected MP,98000000
60,Uttar Pradesh,Shri Brij Lal (2020-26) (2020-2026),Elected MP,196063957.1
Sr. No.,State,Hon'ble Members of Parliament,Elected/Nominated,Allocated AMOUNT ( ₹ )
61,Kerala,Shri C. Sadanandan Master (2025-31) (2025-2031),Nominated MP,73500000
62,Maharashtra,Shri Chandrakant Damodar Handore (2024-30) (2024-2030),Elected MP,147000000
63,Jammu And Kashmir,Shri Chowdry Mohammad Ramzan (2025-31) (2025-2031),Elected MP,73500000
64,Tamil Nadu,Shri Christopher Manickam (2026-32) (2026-2032),Elected MP,49356476.5
65,Rajasthan,Shri Chunnilal Garasiya (2024-30) (2024-2030),Elected MP,147000000
66,Tamil Nadu,Shri Constandine Ravindran (2026-32) (2026-2032),Elected MP,49356476.5
67,Telangana,Shri Damodar Rao Divakonda (2022-28) (2022-2028),Elected MP,239919406.1
68,West Bengal,Shri Derek O' Brien (2023-29) (2023-2029),Elected MP,171500000
69,Chhattisgarh,Shri Devendra Pratap Singh (2024-30) (2024-2030),Elected MP,170837637.8
70,Maharashtra,Shri Dhananjay Bhimrao Mahadik (2022-28) (2022-2028),Elected MP,220383643.1
71,Odisha,Shri Dilip Kumar Ray (2026-32) (2026-2032),Elected MP,49000000
72,Sikkim,Shri Dorjee Tshering Lepcha (2024-30) (2024-2030),Elected MP,150170726.1
73,Karnataka,Shri G.C. Chandrashekhar (2024-30) (2024-2030),Elected MP,147000000
74,Rajasthan,Shri Ghanshyam Tiwari (2022-28) (2022-2028),Elected MP,196063957.1
75,Andhra Pradesh,Shri Golla Baburao (2024-30) (2024-2030),Elected MP,147000000
76,Gujarat,Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030),Elected MP,147000000
77,Jammu And Kashmir,Shri Gulam Ali (2022-28) (2022-2028),Nominated MP,196063957.1
78,Jammu And Kashmir,Shri Gurwinder Singh Oberoi (2025-31) (2025-2031),Elected MP,73500000
79,Punjab,Shri Harbhajan Singh (2022-28) (2022-2028),Elected MP,220984094.3
80,Uttar Pradesh,Shri Hardeep Singh Puri (2020-26) (2020-2026),Elected MP,226801049.1
81,Kerala,Shri Haris Beeran (2024-30) (2024-2030),Elected MP,122500000
82,Himachal Pradesh,Shri Harsh Mahajan (2024-30) (2024-2030),Elected MP,147000000
83,West Bengal,Shri Harsh Vardhan Shringla (2025-31) (2025-2031),Nominated MP,73500000
84,Tamil Nadu,Shri I.S. Inbadurai (2025-31) (2025-2031),Elected MP,89248285.42
85,Tamil Nadu,Shri Ilaiyaraaja (2022-28) (2022-2028),Nominated MP,220563957.1
86,Maharashtra,Shri Imran Pratapgarhi (2022-28) (2022-2028),Elected MP,196000000
87,Gujarat,Shri Jagat Prakash Nadda (2024-30) (2024-2030),Elected MP,147000000
88,Karnataka,Shri Jaggesh (2022-28) (2022-2028),Elected MP,196063957.1
89,Karnataka,Shri Jairam Ramesh (2022-28) (2022-2028),Elected MP,220563957.1
90,Meghalaya,Shri James Pangsang Kongkal Sangma (2026-32) (2026-2032),Elected MP,49000000
91,Uttar Pradesh,Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,196063957.1
Sr. No.,State,Hon'ble Members of Parliament,Elected/Nominated,Allocated AMOUNT ( ₹ )
92,Uttar Pradesh,Shri Jayant Chaudhary (2022-28) (2022-2028),Elected MP,214074707.7
93,Assam,Shri Jogen Mohan (2026-32) (2026-2032),Elected MP,49000000
94,Kerala,Shri Jose K. Mani (2024-30) (2024-2030),Elected MP,122500000
95,Tamil Nadu,Shri K.R.N. Rajeshkumar (2022-28) (2022-2028),Elected MP,238513975.5
96,Tamil Nadu,Shri Kamal Haasan (2025-31) (2025-2031),Elected MP,89248285.42
97,Assam,Shri Kanad Purkayastha (2025-31) (2025-2031),Elected MP,98000000
98,Uttar Pradesh,Shri Kapil Sibal (2022-28) (2022-2028),Elected MP,196063957.1
99,Haryana,Shri Karamvir Singh Singh Boudh (2026-32) (2026-2032),Elected MP,49000000
100,Haryana,Shri Kartikeya Sharma (2022-28) (2022-2028),Elected MP,196000000
101,Gujarat,Shri Kesridevsinh Jhala (2023-29) (2023-2029),Elected MP,171500000
102,Mizoram,Shri Khiangte Laltluangkima (2026-32) (2026-2032),Elected MP,24500000
103,Bihar,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,235770091.8
104,Tamil Nadu,Shri L. K. Sudhish (2026-32) (2026-2032),Elected MP,49356476.5
105,Karnataka,Shri Lahar Singh Siroya (2022-28) (2022-2028),Elected MP,206278088.1
106,Andhra Pradesh,Shri Lingamaneni Ramesh (2026-32) (2026-2032),Elected MP,49000000
107,Karnataka,Shri M. Nagaraja (2026-32) (2026-2032),Elected MP,49000000
108,Rajasthan,Shri Madan Rathore (2024-30) (2024-2030),Elected MP,147000000
109,Uttarakhand,Shri Mahendra Bhatt (2024-30) (2024-2030),Elected MP,147000000
110,Karnataka,Shri Mallikarjun Kharge (2026-32) (2026-2032),Elected MP,49063957.11
111,Bihar,Shri Manan Kumar Mishra (2024-28) (2024-2028),Elected MP,235263957.1
112,Odisha,Shri Manas Ranjan Mangaraj (2022-28) (2022-2028),Elected MP,196063957.1
113,Karnataka,Shri Mansoor Ali Khan (2026-32) (2026-2032),Elected MP,49000000
114,Andhra Pradesh,Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028),Elected MP,171296045.1
115,Gujarat,Shri Mayankkumar Nayak (2024-30) (2024-2030),Elected MP,147000000
116,Andhra Pradesh,Shri Meda Raghunadha Reddy (2024-30) (2024-2030),Elected MP,147000000
117,Maharashtra,Shri Milind Murli Deora (2024-30) (2024-2030),Elected MP,147000000
118,Uttar Pradesh,Shri Mithlesh Kumar (2022-28) (2022-2028),Elected MP,196063957.1
119,West Bengal,Shri Mohammed Nadimul Haque (2024-30) (2024-2030),Elected MP,147000000
120,Rajasthan,Shri Mukul Wasnik (2022-28) (2022-2028),Elected MP,196063957.1
121,West Bengal,Shri Nagendra Ray (2023-29) (2023-2029),Elected MP,171500000
122,Delhi,Shri Narain Dass Gupta (2024-30) (2024-2030),Elected MP,160837070
Sr. No.,State,Hon'ble Members of Parliament,Elected/Nominated,Allocated AMOUNT ( ₹ )
123,Karnataka,Shri Narayanasa K. Bhandage (2024-30) (2024-2030),Elected MP,147450000
124,Uttarakhand,Shri Naresh Bansal (2020-26) (2020-2026),Elected MP,222043184.7
125,Uttar Pradesh,Shri Naveen Jain (2024-30) (2024-2030),Elected MP,147000000
126,Rajasthan,Shri Neeraj Dangi (2026-32) (2026-2032),Elected MP,49000000
127,Uttar Pradesh,Shri Neeraj Shekhar (2020-26) (2020-2026),Elected MP,236483662.1
128,Maharashtra,Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028),Elected MP,122500000
129,Bihar,Shri Nitin Nabin (2026-32) (2026-2032),Elected MP,49000000
130,Tamil Nadu,Shri P. Chidambaram (2022-28) (2022-2028),Elected MP,236312242.5
131,Kerala,Shri P. P. Suneer (2024-30) (2024-2030),Elected MP,122500000
132,Tamil Nadu,Shri P. Wilson (2025-31) (2025-2031),Elected MP,89248285.42
133,Assam,Shri Pabitra Margherita (2022-28) (2022-2028),Elected MP,220563957.1
134,Andhra Pradesh,Shri Paka Venkata Satyanarayana (2025-28) (2025-2028),Elected MP,98000000
135,Jharkhand,Shri Pradip Kumar Varma (2024-30) (2024-2030),Elected MP,178564551.1
136,Maharashtra,Shri Praful Patel (2024-30) (2024-2030),Elected MP,147000000
137,West Bengal,Shri Prakash Chik Baraik (2026-29) (2026-2029),Elected MP,49662892
138,Assam,Shri Pramod Boro (2026-32) (2026-2032),Elected MP,49000000
139,Rajasthan,Shri Pramod Tiwari (2022-28) (2022-2028),Elected MP,196063957.1
140,Tamil Nadu,Shri Praveen Chakravarthy (2026-28) (2026-2028),Elected MP,49000000
141,Tamil Nadu,Shri R. Dharmar (2022-28) (2022-2028),Elected MP,260812242.5
142,Tamil Nadu,Shri R. Girirajan (2022-28) (2022-2028),Elected MP,236312242.5
143,Punjab,Shri Raghav Chadha (2022-28) (2022-2028),Elected MP,237229207.3
144,West Bengal,Shri Rajeev Kumar (2026-32) (2026-2032),Elected MP,49000000
145,Chhattisgarh,Shri Rajeev Shukla (2022-28) (2022-2028),Elected MP,271174394.2
146,Tripura,Shri Rajib Bhattacharjee (2024-28) (2024-2028),Elected MP,122500000
147,Punjab,Shri Rajinder Gupta (2025-28) (2025-2028),Elected MP,49000000
148,Madhya Pradesh,Shri Rajneesh Kumar Agrawal (2026-32) (2026-2032),Elected MP,49000000
149,Bihar,Shri Ram Nath Thakur (2026-32) (2026-2032),Elected MP,65673638.73
150,Uttar Pradesh,Shri Ramji (2020-26) (2020-2026),Elected MP,174518577.1
151,Uttar Pradesh,Shri Ramji Lal Suman (2024-30) (2024-2030),Elected MP,147000000
152,Maharashtra,Shri Ramrao Sakharam Wadkute (2026-32) (2026-2032),Elected MP,49000000
153,Rajasthan,Shri Randeep Singh Surjewala (2022-28) (2022-2028),Elected MP,196063957.1
Sr. No.,State,Hon'ble Members of Parliament,Elected/Nominated,Allocated AMOUNT ( ₹ )
154,Uttar Pradesh,Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030),Elected MP,147000000
155,Telangana,Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030),Elected MP,152732534.1
156,Assam,Shri Rwngwra Narzary (2022-28) (2022-2028),Elected MP,220563957.1
157,Andhra Pradesh,Shri Ryaga Krishnaiah (2024-28) (2024-2028),Elected MP,170413583.8
158,Andhra Pradesh,Shri S Niranjan Reddy (2022-28) (2022-2028),Elected MP,224621383.1
159,Gujarat,Shri S. Jaishankar (2023-29) (2023-2029),Elected MP,171500000
160,Tamil Nadu,Shri S. Kalyanasundaram (2022-28) (2022-2028),Elected MP,239763792.5
161,Puducherry,Shri S. Selvaganabathy (2021-27) (2021-2027),Elected MP,292881856.5
162,Tamil Nadu,Shri S.R. Sivalingam (2025-31) (2025-2031),Elected MP,89248285.42
163,Goa,Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029),Elected MP,171500000
164,Jammu And Kashmir,Shri Sajjad Ahmad Kichloo (2025-31) (2025-2031),Elected MP,73500000
165,West Bengal,Shri Samik Bhattacharya (2024-30) (2024-2030),Elected MP,147000000
166,West Bengal,Shri Samirul Islam (2023-29) (2023-2029),Elected MP,171500000
167,Andhra Pradesh,Shri Sana Sathish Babu (2026-32) (2026-2032),Elected MP,49000000
168,Kerala,Shri Sandosh Kumar P (2022-28) (2022-2028),Elected MP,220563957.1
169,Haryana,Shri Sanjay Bhatia (2026-32) (2026-2032),Elected MP,49000000
170,Bihar,Shri Sanjay Kumar Jha (2024-30) (2024-2030),Elected MP,186200000
171,Maharashtra,Shri Sanjay Raut (2022-28) (2022-2028),Elected MP,196063957.1
172,Uttar Pradesh,Shri Sanjay Seth (2024-30) (2024-2030),Elected MP,147000000
173,Delhi,Shri Sanjay Singh (2024-30) (2024-2030),Elected MP,184466426.1
174,Bihar,Shri Sanjay Yadav (2024-30) (2024-2030),Elected MP,186200000
175,Punjab,Shri Sant Balbir Singh (2022-28) (2022-2028),Elected MP,196359074.4
176,Jammu And Kashmir,Shri Sat Paul Sharma (2025-31) (2025-2031),Elected MP,73500000
177,Bihar,Shri Satish Chandra Dubey (2022-28) (2022-2028),Elected MP,235263957.1
178,Chandigarh,Shri Satnam Singh Sandhu (2024-30) (2024-2030),Nominated MP,147000000
179,Bihar,Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,237168443.5
180,Bihar,Shri Shivesh Kumar (2026-32) (2026-2032),Elected MP,49000000
181,Haryana,Shri Subhash Barala (2024-30) (2024-2030),Elected MP,147000000
182,Odisha,Shri Subhasish Khuntia (2024-30) (2024-2030),Elected MP,147000000
183,Odisha,Shri Sujeet Kumar (2026-32) (2026-2032),Elected MP,49000000
184,Uttar Pradesh,Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,220563957.1
Sr. No.,State,Hon'ble Members of Parliament,Elected/Nominated,Allocated AMOUNT ( ₹ )
185,Arunachal Pradesh,Shri Tai Tagak (2026-32) (2026-2032),Elected MP,49000000
186,Uttar Pradesh,Shri Tejveer Singh (2024-30) (2024-2030),Elected MP,147000000
187,Assam,Shri Terash Gowalla (2026-32) (2026-2032),Elected MP,49000000
188,Tamil Nadu,Shri Tiruchi Siva (2026-32) (2026-2032),Elected MP,49356476.5
189,Maharashtra,Shri Ujjwal Deorao Nikam (2025-31) (2025-2031),Nominated MP,73500000
190,Bihar,Shri Upendra Kushwaha (2026-32) (2026-2032),Elected MP,49000000
191,Andhra Pradesh,Shri V. Vijayendra Prasad (2022-28) (2022-2028),Nominated MP,196063957.1
192,Andhra Pradesh,Shri Vijay Chintakayala (2026-32) (2026-2032),Elected MP,49000000
193,Maharashtra,Shri Vinod Shridhar Tawde (2026-32) (2026-2032),Elected MP,49000000
194,Madhya Pradesh,Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,220563957.1
195,Andhra Pradesh,Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030),Elected MP,147000000
196,Manipur,Smt. Adhikarimayum Sharda Devi (2026-32) (2026-2032),Elected MP,49000000
197,Uttar Pradesh,Smt. Darshana Singh (2022-28) (2022-2028),Elected MP,196994373.9
198,Uttar Pradesh,Smt. Geeta alias Chandraprabha (2020-26) (2020-2026),Elected MP,196063957.1
199,Uttar Pradesh,Smt. Jaya Amitabh Bachchan (2024-30) (2024-2030),Elected MP,147000000
200,Kerala,Smt. Jebi Mather Hisham (2022-28) (2022-2028),Elected MP,220563957.1
201,Chhattisgarh,Smt. Laxmi Verma (2026-32) (2026-2032),Elected MP,49000000
202,Jharkhand,Smt. Mahua Maji (2022-28) (2022-2028),Elected MP,232524001.2
203,West Bengal,Smt. Mamata Thakur (2024-30) (2024-2030),Elected MP,147000000
204,Maharashtra,Smt. Maya Chintaman Ivnate (2026-32) (2026-2032),Elected MP,49000000
205,Madhya Pradesh,Smt. Maya Naroliya (2024-30) (2024-2030),Elected MP,147000000
206,Karnataka,Smt. Nirmala Sitharaman (2022-28) (2022-2028),Elected MP,215972051.5
207,Kerala,Smt. P. T. Usha (2022-28) (2022-2028),Nominated MP,196063957.1
208,Chhattisgarh,Smt. Phulo Devi Netam (2026-32) (2026-2032),Elected MP,49000000
209,Tamil Nadu,Smt. Rajathi (2025-31) (2025-2031),Elected MP,89248285.42
210,Chhattisgarh,Smt. Ranjeet Ranjan (2022-28) (2022-2028),Elected MP,246780257.9
211,Haryana,Smt. Rekha Sharma (2024-28) (2024-2028),Elected MP,98000000
212,Telangana,Smt. Renuka Chowdhury (2024-30) (2024-2030),Elected MP,147000000
213,Nagaland,Smt. S. Phangnon Konyak (2022-28) (2022-2028),Elected MP,206563957.1
214,Uttar Pradesh,Smt. Sadhna Singh (2024-30) (2024-2030),Elected MP,147000000
215,West Bengal,Smt. Sagarika Ghose (2024-30) (2024-2030),Elected MP,147000000
Sr. No.,State,Hon'ble Members of Parliament,Elected/Nominated,Allocated AMOUNT ( ₹ )
216,Uttar Pradesh,Smt. Sangeeta Yadav (2022-28) (2022-2028),Elected MP,196063957.1
217,Uttar Pradesh,Smt. Seema Dwivedi (2020-26) (2020-2026),Elected MP,173830159.1
218,Rajasthan,Smt. Sonia Gandhi (2024-30) (2024-2030),Elected MP,147000000
219,Karnataka,Smt. Sudha Murty (2024-30) (2024-2030),Nominated MP,147000000
220,Odisha,Smt. Sulata Deo (2022-28) (2022-2028),Elected MP,196084721.4
221,Madhya Pradesh,Smt. Sumitra Balmik (2022-28) (2022-2028),Elected MP,196063957.1
Grand Total ,,,,33148483916
